Record Year,Publicroadmileage,Lanemiles,Vmtmillions,Vmtactual
1900,2320000,,100,100000000
1901,2325000,,170,170000000
1902,2330000,,310,310000000
1903,2340000,,460,460000000
1904,2351000,,750,750000000
1905,2360000,,970,970000000
1906,2370000,,1240,1240000000
1907,2382000,,1440,1440000000
1908,2395000,,1850,1850000000
1909,2410000,,2590,2590000000
1910,2430000,,3580,3580000000
1911,2470000,,5040,5040000000
1912,2515000,,7390,7390000000
1913,2590000,,10250,10250000000
1914,2666000,,14060,14060000000
1915,2745000,,19530,19530000000
1916,2850000,,25860,25860000000
1917,2925000,,30680,30680000000
1918,3000000,,36980,36980000000
1919,3050000,,44110,44110000000
1920,3105000,,47600,47600000000
1921,3160000,,55027,55027000000
1922,3196000,,67697,67697000000
1923,3233000,,84995,84995000000
1924,3243000,,104838,1.04838E+11
1925,3246000,,122346,1.22346E+11
1926,3242000,,140735,1.40735E+11
1927,3257000,,158453,1.58453E+11
1928,3262000,,172856,1.72856E+11
1929,3272000,,197720,1.9772E+11
1930,3259000,,206320,2.0632E+11
1931,3291000,,216151,2.16151E+11
1932,3296000,,200517,2.00517E+11
1933,3286000,,200642,2.00642E+11
1934,3309000,,215563,2.15563E+11
1935,3310000,,228568,2.28568E+11
1936,3267000,,252128,2.52128E+11
1937,3245000,,270110,2.7011E+11
1938,3257000,,271177,2.71177E+11
1939,3274000,,285402,2.85402E+11
1940,3287000,,302188,3.02188E+11
1941,3309678,,333612,3.33612E+11
1942,3308497,,268224,2.68224E+11
1943,3311138,,208192,2.08192E+11
1944,3311177,,212713,2.12713E+11
1945,3319286,,250173,2.50173E+11
1946,3316538,,340880,3.4088E+11
1947,3326153,,370894,3.70894E+11
1948,3322660,,397957,3.97957E+11
1949,3321742,,424461,4.24461E+11
1950,3312975,,458246,4.58246E+11
1951,3326510,,491093,4.91093E+11
1952,3343170,,513581,5.13581E+11
1953,3366190,,544433,5.44433E+11
1954,3394561,,561963,5.61963E+11
1955,3418214,,605646,6.05646E+11
1956,3429801,,627843,6.27843E+11
1957,3453118,,645004,6.45004E+11
1958,3478787,,664653,6.64653E+11
1959,3510660,,700480,7.0048E+11
1960,3545693,,718762,7.18762E+11
1961,3573046,,737421,7.37421E+11
1962,3599581,,766734,7.66734E+11
1963,3620457,,805249,8.05249E+11
1964,3644069,,846298,8.46298E+11
1965,3689666,,887812,8.87812E+11
1966,3697950,,925899,9.25899E+11
1967,3704914,,964005,9.64005E+11
1968,3684085,,1015869,1.01587E+12
1969,3710299,,1061791,1.06179E+12
1970,3730082,,1109724,1.10972E+12
1971,3758942,,1178811,1.17881E+12
1972,3786713,,1259786,1.25979E+12
1973,3806883,,1313110,1.31311E+12
1974,3815807,,1280544,1.28054E+12
1975,3838146,,1327664,1.32766E+12
1976,3857356,,1402380,1.40238E+12
1977,3867167,,1467027,1.46703E+12
1978,3884761,,1544704,1.5447E+12
1979,3917496,,1529133,1.52913E+12
1980,3859837,7922174,1527295,1.5273E+12
1981,3852473,7856560,1555308,1.55531E+12
1982,3865894,8012913,1595010,1.59501E+12
1983,3879617,8055068,1652788,1.65279E+12
1984,3891464,8076149,1720269,1.72027E+12
1985,3863912,8017994,1774826,1.77483E+12
1986,3877941,8048512,1834872,1.83487E+12
1987,3873992,8051015,1921204,1.9212E+12
1988,3870744,8048008,2025962,2.02596E+12
1989,3876865,8062952,2096487,2.09649E+12
1990,3866926,8051081,2144362,2.14436E+12
1991,3883920,8087793,2172050,2.17205E+12
1992,3901081,8124090,2247151,2.24715E+12
1993,3905211,8132196,2296378,2.29638E+12
1994,3906595,8143014,2357588,2.35759E+12
1995,3912344,8158253,2422823,2.42282E+12
1996,3934264,8178654,2499779,2.49978E+12
1997,3960500,8242437,2568404,2.5684E+12
1998,3920968,8160836,2644672,2.64467E+12
1999,3932017,8177983,2707236,2.70724E+12
2000,3951101,8224245,2764484,2.76448E+12
2001,3963265,8251865,2813416,2.81342E+12
2002,3981671,8295170,2873612,2.87361E+12
2003,3990899,8315121,2908778,2.90878E+12
2004,3997456,8338821,2982017,2.98202E+12
2005,4011628,8338821,3009218,3.00922E+12
2006,4033011,8420589,3033753,3.03375E+12
2007,4048518,8491789,3049027,3.04903E+12
2008,4059352,8518767,2992705,2.99271E+12
2009,4067396,8577179,2975804,2.9758E+12
2010,4083768,8616206,2985095,2.98509E+12
2011,4094447,8602666,2964720,2.96472E+12
2012,4092730,8606003,2968815,2.96882E+12
2013,4115462,8656070,2988323,2.98832E+12
2014,4194257,8830511,3040220,3.04022E+12
2015,4171417,8801049,3109937,3.10994E+12
2016,4140108,8711076,3174408,3.17441E+12
2017,4184471,8804092,3224707,3.22471E+12
2018,4195274,8833083,3255347,3.25535E+12
2019,4189483,8823934,3276482,3.27648E+12
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
