,Value
2009-01-04,80527.66971054654
2009-01-11,81500.87952636564
2009-01-18,97916.98176585426
2009-01-25,84498.02660602429
2009-02-01,89510.77745281585
2009-02-08,71098.88196805933
2009-02-15,74517.40904260773
2009-02-22,85504.95182016719
2009-03-01,85588.57981899397
2009-03-08,73251.34166332943
2009-03-15,74651.50316891207
2009-03-22,88029.33327963573
2009-03-29,81588.96621333278
2009-04-05,72928.73096983839
2009-04-12,72626.84387580007
2009-04-19,69962.81951587967
2009-04-26,62897.725096784285
2009-05-03,74206.94695754873
2009-05-10,70705.41811752079
2009-05-17,68756.66813073371
2009-05-24,69169.27843133964
2009-05-31,85285.69079021711
2009-06-07,63891.68389071438
2009-06-14,78920.87741005716
2009-06-21,94114.70612019894
2009-06-28,96335.2587823579
2009-07-05,91931.14927193554
2009-07-12,86634.5084842094
2009-07-19,89676.92666241554
2009-07-26,98398.0648032531
2009-08-02,96428.95595160038
2009-08-09,83563.27642569598
2009-08-16,86082.18184150997
2009-08-23,94247.95355221063
2009-08-30,89980.96011279154
2009-09-06,77171.67316925991
2009-09-13,82955.87834252059
2009-09-20,72194.94347321818
2009-09-27,65144.28458076078
2009-10-04,69444.39201928096
2009-10-11,72301.69051474168
2009-10-18,70766.87512751983
2009-10-25,82726.0486073325
2009-11-01,85228.66418578057
2009-11-08,90495.19237471287
2009-11-15,77246.82159790058
2009-11-22,75489.73316212646
2009-11-29,83642.89326258506
2009-12-06,93683.11647467638
2009-12-13,85944.48972019555
2009-12-20,90715.1690901149
2009-12-27,91030.69596287573
2010-01-03,100381.8391899879
2010-01-10,91515.85895344123
2010-01-17,106869.86008905651
2010-01-24,116971.4286948588
2010-01-31,95186.52463163772
2010-02-07,85720.11660566967
2010-02-14,87683.5299411364
2010-02-21,88986.57423170599
2010-02-28,83982.12419151737
2010-03-07,78266.86243080038
2010-03-14,80690.36453260464
2010-03-21,91419.08692596201
2010-03-28,92112.16566903026
2010-04-04,60958.22230028991
2010-04-11,73125.85969546305
2010-04-18,77238.42968240495
2010-04-25,75161.51335587793
2010-05-02,81027.91035535344
2010-05-09,75248.47720111936
2010-05-16,76662.63611938339
2010-05-23,79076.36869466583
2010-05-30,81789.5958266042
2010-06-06,88287.66748912379
2010-06-13,92729.31265924938
2010-06-20,93839.83948189222
2010-06-27,89009.47846375286
2010-07-04,88381.47969192005
2010-07-11,102670.89807355251
2010-07-18,104165.96480584254
2010-07-25,124987.89001507119
2010-08-01,95222.33717861438
2010-08-08,93578.93222453876
2010-08-15,98774.31609560168
2010-08-22,101277.27488678998
2010-08-29,106020.22648734173
2010-09-05,89244.71586019688
2010-09-12,82654.85418366901
2010-09-19,84837.59329126262
2010-09-26,89567.50677421158
2010-10-03,73350.0687265545
2010-10-10,71155.91587237883
2010-10-17,68455.99551664862
2010-10-24,91661.17255603058
2010-10-31,77640.18049990642
2010-11-07,86203.4432908141
2010-11-14,73382.96812280458
2010-11-21,63861.16057458235
2010-11-28,78983.73294554229
2010-12-05,80059.61901983288
2010-12-12,89654.91900751332
2010-12-19,105569.8265192288
