Date,U.S. Natural Gas Residential Consumption (MMcf)
2001-01-07,963475.8748449795
2001-01-14,901002.2698448272
2001-01-21,1032449.9584945628
2001-01-28,826014.703323422
2001-02-04,776629.6124374702
2001-02-11,466643.0292965349
2001-02-18,723881.2624547025
2001-02-25,781527.3434867259
2001-03-04,801230.090661997
2001-03-11,554040.0119830413
2001-03-18,327125.4379152878
2001-03-25,624013.0521164389
2001-04-01,614474.9071788719
2001-04-08,436068.6622280717
2001-04-15,449159.7900518158
2001-04-22,-37896.860573479324
2001-04-29,444417.3623243382
2001-05-06,357581.52250094165
2001-05-13,287914.7056180135
2001-05-20,234652.51139900828
2001-05-27,-145009.0960294666
2001-06-03,219498.15852646905
2001-06-10,237785.78487797314
2001-06-17,83703.89467825714
2001-06-24,-1637.6973283044936
2001-07-01,276125.82302374765
2001-07-08,317751.26776823716
2001-07-15,153222.75004786832
2001-07-22,342177.9996140412
2001-07-29,99451.50355746358
2001-08-05,380137.45666893746
2001-08-12,448319.6509051451
2001-08-19,175400.48908344557
2001-08-26,224992.45347605908
2001-09-02,166890.21567332442
2001-09-09,186880.76793956495
2001-09-16,56931.985460309006
2001-09-23,85695.70837573867
2001-09-30,236333.98799346026
2001-10-07,499890.84441527195
2001-10-14,375579.28283962334
2001-10-21,377700.2913239605
2001-10-28,-686.4204910140834
2001-11-04,155372.8273461998
2001-11-11,412269.7946871744
2001-11-18,209014.6352810754
2001-11-25,330707.5860607264
2001-12-02,585974.5306699701
2001-12-09,521133.62141426554
2001-12-16,635925.7014292616
2001-12-23,427109.30905292433
2001-12-30,696692.0540712825
2002-01-06,922862.8425702192
2002-01-13,531986.0073776828
2002-01-20,1125233.7888523138
2002-01-27,940628.4444005936
2002-02-03,656704.5748220629
2002-02-10,629193.078690544
2002-02-17,456408.65983745456
2002-02-24,565782.5436474641
2002-03-03,427630.50196930056
2002-03-10,443521.8404577662
2002-03-17,781246.1686222998
2002-03-24,624437.1555710237
2002-03-31,506249.2624304402
2002-04-07,563450.5581020736
2002-04-14,391781.71589265676
2002-04-21,343589.9427134198
2002-04-28,469540.1194398874
2002-05-05,-65716.20930443367
2002-05-12,288965.49030169455
2002-05-19,-18335.92383397749
2002-05-26,273842.7198715929
2002-06-02,193136.28230672638
2002-06-09,252346.06858670455
2002-06-16,98847.623885963
2002-06-23,318620.5294918629
2002-06-30,-7668.263491509017
2002-07-07,20336.73341673045
2002-07-14,-81748.91403030689
2002-07-21,-80509.73978985133
2002-07-28,235935.78008383105
2002-08-04,223346.37964567158
2002-08-11,277362.17424317834
2002-08-18,72500.86923995636
2002-08-25,-27964.42505830899
2002-09-01,189525.52227060316
2002-09-08,20304.449656949277
2002-09-15,145215.85416145824
2002-09-22,214753.13705389318
2002-09-29,222955.30381399122
2002-10-06,59133.7100441299
2002-10-13,152169.1541292462
2002-10-20,351113.01501403
2002-10-27,63389.7243518075
2002-11-03,462149.42591315025
2002-11-10,393172.5344187888
2002-11-17,651326.7257343233
2002-11-24,414366.4926929152
2002-12-01,599791.8274073894
2002-12-08,849524.6052553536
2002-12-15,821197.9528430866
2002-12-22,571357.3461780292
2002-12-29,649977.5526483598
2003-01-05,904055.4683594567
2003-01-12,897124.4518529028
2003-01-19,1131987.5095174517
2003-01-26,1040079.5194252196
2003-02-02,831242.0226986001
2003-02-09,1049659.365761611
2003-02-16,909853.9392893293
2003-02-23,716193.341116501
2003-03-02,588511.03468033
2003-03-09,935755.5018146443
2003-03-16,712781.6839219306
2003-03-23,849846.214691847
2003-03-30,843335.0282332172
2003-04-06,516579.94304223027
2003-04-13,488951.8412711042
2003-04-20,410661.4526024846
2003-04-27,522219.5184819137
2003-05-04,166458.03856047895
2003-05-11,546052.0405363993
2003-05-18,192520.97744044272
2003-05-25,279256.067617712
2003-06-01,206352.73434518112
2003-06-08,339723.6064619547
2003-06-15,143450.5673026878
2003-06-22,23108.745684357942
2003-06-29,192011.15229481983
2003-07-06,90776.80012427087
2003-07-13,181749.9470182407
2003-07-20,265997.6861217578
2003-07-27,69943.3087520304
2003-08-03,296261.3201559975
2003-08-10,266988.5460622461
2003-08-17,115345.71729464052
2003-08-24,65347.40369604958
2003-08-31,-19048.238906489627
2003-09-07,7149.404234785339
