,umd_tree_cover_loss__ha
2001-01-07,1932323.219238024
2001-01-14,2174659.1880972274
2001-01-21,2335532.223361786
2001-01-28,2065545.8993484552
2001-02-04,1989475.5014366747
2001-02-11,2066730.2055591696
2001-02-18,2109343.2435133415
2001-02-25,1643721.795773433
2001-03-04,1871222.4734090532
2001-03-11,2158972.9732826496
2001-03-18,1973350.6491060753
2001-03-25,1728742.1891964471
2001-04-01,2248741.3693838017
2001-04-08,1724128.479421265
2001-04-15,1956950.1586109097
2001-04-22,1366131.632973367
2001-04-29,1529740.0475591652
2001-05-06,1769606.3343669423
2001-05-13,1777310.7979661138
2001-05-20,1670705.6566805814
2001-05-27,1971662.1799941815
2001-06-03,1778599.0477000945
2001-06-10,1609818.6086514364
2001-06-17,2197730.3905255953
2001-06-24,1616553.1620211706
2001-07-01,1923916.9792488765
2001-07-08,1930585.6154660352
2001-07-15,1847804.6110259434
2001-07-22,1848049.0149334902
2001-07-29,1922362.124624968
2001-08-05,1837875.4575968934
2001-08-12,1936273.8761318522
2001-08-19,1842632.9456473915
2001-08-26,1923290.417827813
2001-09-02,1952308.639254381
2001-09-09,1793662.9306206557
2001-09-16,1810884.3864966214
2001-09-23,2045606.7728436207
2001-09-30,2243707.2703842083
2001-10-07,2189230.5761819966
2001-10-14,2044808.1613917067
2001-10-21,2150356.3759608185
2001-10-28,2052685.3229114453
2001-11-04,2119731.1978173093
2001-11-11,2368488.883544864
2001-11-18,1872005.0550164862
2001-11-25,1565301.5697050518
2001-12-02,2156158.09535227
2001-12-09,2022969.9404827978
2001-12-16,1946684.9746563586
2001-12-23,2013295.6588257665
2001-12-30,2232285.1283580214
2002-01-06,2326746.353830997
2002-01-13,2186710.7048003776
2002-01-20,2107532.7769809896
2002-01-27,2340624.2346688756
2002-02-03,2113627.928928642
2002-02-10,2119703.8692949233
2002-02-17,1941507.8881224492
2002-02-24,2265001.1652290937
2002-03-03,1744610.3708317822
2002-03-10,2120610.704274909
2002-03-17,1910693.7939019003
2002-03-24,1941342.155349225
2002-03-31,2019986.9734912533
2002-04-07,2389142.550113381
2002-04-14,1893959.9276240147
2002-04-21,2315538.001643489
2002-04-28,1960982.152070893
2002-05-05,2275823.05912592
2002-05-12,2199862.0633736555
2002-05-19,2325834.77907529
2002-05-26,2215572.3864561715
2002-06-02,1956608.1095713996
2002-06-09,2204160.0461245035
2002-06-16,2191900.618150233
2002-06-23,1833019.0293167937
2002-06-30,2269880.8734509833
2002-07-07,1580578.8204262622
2002-07-14,1665603.5326837308
2002-07-21,1408573.0024899426
2002-07-28,1487212.3832926285
2002-08-04,1471829.7558454396
2002-08-11,2123537.470254952
2002-08-18,1833929.198947716
2002-08-25,1394796.337509141
2002-09-01,1954467.137187614
2002-09-08,1528725.9296321122
2002-09-15,1341821.2422417442
2002-09-22,1694663.5873049598
2002-09-29,1304434.8236020498
2002-10-06,1649165.9967073654
2002-10-13,1433930.5867281635
2002-10-20,1827595.1693694629
2002-10-27,1509925.1752883384
2002-11-03,1768337.7998654658
2002-11-10,1805142.1633526462
2002-11-17,1356621.7050682092
2002-11-24,1777444.0893105322
2002-12-01,2010071.4652933814
2002-12-08,1771227.4659978077
2002-12-15,1508349.3192704255
