Date,U.S. Natural Gas Total Consumption (MMcf),U.S. Natural Gas Lease and Plant Fuel Consumption (MMcf),U.S. Natural Gas Pipeline & Distribution Use (MMcf),Natural Gas Delivered to Consumers in the U.S. (MMcf),U.S. Natural Gas Residential Consumption (MMcf),Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in the U.S. (MMcf),U.S. Natural Gas Industrial Consumption (MMcf),U.S. Natural Gas Vehicle Fuel Consumption (MMcf),U.S. Natural Gas Deliveries to Electric Power Consumers (MMcf),
Jan-1973,,,,,843900,392315,,,,
Feb-1973,,,,,747331,394281,,,,
Mar-1973,,,,,648504,310799,,,,
Apr-1973,,,,,465867,231943,,,,
May-1973,,,,,326313,174258,,,,
Jun-1973,,,,,207172,135165,,,,
Jul-1973,,,,,150349,107728,,,,
Aug-1973,,,,,142498,105681,,,,
Sep-1973,,,,,159378,103831,,,,
Oct-1973,,,,,205013,126540,,,,
Nov-1973,,,,,392459,216762,,,,
Dec-1973,,,,,590602,297734,,,,
Jan-1974,,,,,816943,406440,,,,
Feb-1974,,,,,688478,335562,,,,
Mar-1974,,,,,597641,301588,,,,
Apr-1974,,,,,482013,243041,,,,
May-1974,,,,,315920,165233,,,,
Jun-1974,,,,,215382,128032,,,,
Jul-1974,,,,,166289,109694,,,,
Aug-1974,,,,,142086,107828,,,,
Sep-1974,,,,,154824,106510,,,,
Oct-1974,,,,,235176,143295,,,,
Nov-1974,,,,,358546,199514,,,,
Dec-1974,,,,,612830,308879,,,,
Jan-1975,,,,,750713,346998,,,,
Feb-1975,,,,,732408,345520,,,,
Mar-1975,,,,,677687,312362,,,,
Apr-1975,,,,,596831,289341,,,,
May-1975,,,,,337326,164629,,,,
Jun-1975,,,,,203708,119960,,,,
Jul-1975,,,,,167293,107077,,,,
Aug-1975,,,,,143604,104332,,,,
Sep-1975,,,,,153980,106655,,,,
Oct-1975,,,,,223383,133055,,,,
Nov-1975,,,,,329397,179518,,,,
Dec-1975,,,,,607794,298845,,,,
Jan-1976,,,,,843235,405483,,,,
Feb-1976,,,,,739592,364339,,,,
Mar-1976,,,,,578491,285912,,,,
Apr-1976,,,,,442648,221383,,,,
May-1976,,,,,315760,169209,,,,
Jun-1976,,,,,220871,129058,,,,
Jul-1976,,,,,170257,112070,,,,
Aug-1976,,,,,140774,113174,,,,
Sep-1976,,,,,152346,113284,,,,
Oct-1976,,,,,241902,145824,,,,
Nov-1976,,,,,471326,252710,,,,
Dec-1976,,,,,734158,355294,,,,
Jan-1977,,,,,936793,413377,,,,
Feb-1977,,,,,823439,366311,,,,
Mar-1977,,,,,560779,263862,,,,
Apr-1977,,,,,401258,202477,,,,
May-1977,,,,,251756,142460,,,,
Jun-1977,,,,,182212,121297,,,,
Jul-1977,,,,,146064,113400,,,,
Aug-1977,,,,,131330,108977,,,,
Sep-1977,,,,,140661,108977,,,,
Oct-1977,,,,,223663,139407,,,,
Nov-1977,,,,,371888,200897,,,,
Dec-1977,,,,,651640,319351,,,,
Jan-1978,,,,,816411,390741,,,,
Feb-1978,,,,,837768,400991,,,,
Mar-1978,,,,,680825,345141,,,,
Apr-1978,,,,,445702,224969,,,,
May-1978,,,,,307604,166190,,,,
Jun-1978,,,,,184388,119963,,,,
Jul-1978,,,,,146989,106471,,,,
Aug-1978,,,,,130270,100928,,,,
Sep-1978,,,,,135489,102915,,,,
Oct-1978,,,,,209515,133873,,,,
Nov-1978,,,,,376411,196207,,,,
Dec-1978,,,,,631636,312718,,,,
Jan-1979,,,,,867301,431943,,,,
Feb-1979,,,,,892145,444867,,,,
Mar-1979,,,,,659720,349164,,,,
Apr-1979,,,,,463492,256024,,,,
May-1979,,,,,287548,170571,,,,
Jun-1979,,,,,189143,126564,,,,
Jul-1979,,,,,147607,106844,,,,
Aug-1979,,,,,133244,103167,,,,
Sep-1979,,,,,137611,106175,,,,
Oct-1979,,,,,215151,142161,,,,
Nov-1979,,,,,378577,222712,,,,
Dec-1979,,,,,593825,325768,,,,
Jan-1980,,93000,,,722000,356000,,,,
Feb-1980,,87000,,,774000,380000,,,,
Mar-1980,,93000,,,673000,344000,,,,
Apr-1980,,85000,,,451000,239000,,,,
May-1980,,86000,,,279000,155000,,,,
Jun-1980,,81000,,,191000,123000,,,,
Jul-1980,,82000,,,145000,103000,,,,
Aug-1980,,80000,,,129000,101000,,,,
Sep-1980,,80000,,,135000,106000,,,,
Oct-1980,,84000,,,214000,140000,,,,
Nov-1980,,84000,,,392000,224000,,,,
Dec-1980,,91000,,,646000,340000,,,,
Jan-1981,,81000,,,831000,406000,,,,
Feb-1981,,73000,,,740000,355000,,,,
Mar-1981,,81000,,,585000,304000,,,,
Apr-1981,,78000,,,372000,204000,,,,
May-1981,,79000,,,260000,151000,,,,
Jun-1981,,76000,,,168000,116000,,,,
Jul-1981,,77000,,,136000,99000,,,,
Aug-1981,,79000,,,123000,107000,,,,
Sep-1981,,73000,,,133000,107000,,,,
Oct-1981,,76000,,,232000,148000,,,,
Nov-1981,,74000,,,364000,205000,,,,
