umd_tree_cover_loss__year,whrc_aboveground_biomass_loss__Mg,umd_tree_cover_loss__ha,whrc_aboveground_co2_emissions__Mg
2001,305450701.4,1943318.744,559992952.5
2002,341131526.8,2038435.691,625407799.2
2003,262431520.8,1649383.91,481124454.8
2004,387013930.1,2746257.288,709525538.5
2005,351023615.9,2691544.211,643543295.8
2006,359518921.7,2605855.554,659118023
2007,381046293.6,2435127.98,698584871.7
2008,394710931.7,2213723.495,723636708.1
2009,257281197.3,1608980.963,471682195
2010,292631627.3,2167662.188,536491316.7
2011,255798813,1663692.304,468964490.5
2012,302003440.6,1964094.349,553672974.4
2013,250203423.7,1736445.498,458706276.8
2014,281045457.9,1736526.807,515250006.2
2015,282887906.1,2289649.128,518627827.9
2016,347026251.7,2264066.75,636214794.7
2017,360991721.2,2311358.03,661818155.6
2018,362207699.9,2092359.472,664047449.7
2019,306801904.2,2109918.283,562470157.6
