Date,Open,High,Low,Close,Volume
01/27/2021,"1,239.34","1,239.34","1,205.37","1,205.37",0
01/22/2021,"1,165.96","1,211.02","1,165.96","1,208.31",0
01/15/2021,"1,140.80","1,197.10","1,140.80","1,165.96",0
01/08/2021,"1,030.48","1,209.78","1,030.48","1,209.78",0
12/31/2020,964.22,"1,009.42",964.22,"1,009.42",0
12/25/2020,945.51,961.78,935.4,961.78,0
12/18/2020,933.51,994.43,917.84,994.43,0
12/11/2020,945.63,953.28,903.62,903.62,0
12/04/2020,860.86,900.99,860.86,900.99,0
11/27/2020,811.15,884.82,811.15,884.82,0
11/20/2020,682.73,781.45,682.73,770.14,0
11/13/2020,681.93,683.46,672.3,676.76,0
11/06/2020,640.78,692.97,640.78,682.86,0
10/30/2020,668.28,669.93,625.64,625.64,0
10/23/2020,673.33,680.21,670.07,674.17,0
10/16/2020,683.98,701.42,683.46,683.46,0
10/09/2020,658.2,672.56,642.98,672.56,0
10/02/2020,641.74,675.99,638.25,641.64,0
09/25/2020,672.08,672.08,594.1,621.95,0
09/18/2020,651.69,683.14,651.69,673.62,0
09/11/2020,645.09,645.09,556.03,598.22,0
09/04/2020,726.7,726.7,631.97,645.09,0
08/28/2020,627.51,673.65,627.51,670.9,0
08/21/2020,590.62,627.62,590.62,627.62,0
08/14/2020,497.47,548.23,492.31,548.23,0
08/07/2020,498.96,506.04,497.95,497.95,0
07/31/2020,516.26,516.26,484.22,484.22,0
07/24/2020,533.84,533.84,489.33,489.33,0
07/17/2020,492.38,516.18,492.38,505.57,0
07/10/2020,470.17,502.07,464.98,502.07,0
07/03/2020,389.71,432.41,389.71,432.41,0
06/26/2020,391.61,393.39,373.75,373.75,0
06/19/2020,393.73,394.05,391.94,392.95,0
06/12/2020,408.58,410.22,382.08,382.16,0
06/05/2020,368.41,391.61,368.41,391.61,0
05/29/2020,342.67,356.02,342.67,350.03,0
05/22/2020,336.31,343.97,334.25,342.67,0
05/15/2020,328.95,328.95,312.87,320.77,0
05/08/2020,309.41,334.39,309.41,334.39,0
05/01/2020,323.62,333.24,298.71,298.71,0
04/24/2020,304.74,304.74,288.16,303.14,0
04/17/2020,288.7,310.95,288.7,310.95,0
04/10/2020,243.33,278.2,243.33,278.2,0
04/03/2020,247.09,248.56,221.43,223.08,0
03/27/2020,211.3,260.29,211.3,250.1,0
03/20/2020,235.08,235.08,195.9,213.19,0
03/13/2020,295.04,314.76,271.5,279.86,0
03/06/2020,358.79,358.92,332.85,332.85,0
02/28/2020,386.73,386.73,337.77,337.77,0
02/21/2020,391.17,416.83,391.17,410.09,0
02/14/2020,382.69,395.72,382.69,391.17,0
02/07/2020,388.94,415.11,377.43,377.43,0
01/31/2020,344.95,360.25,344.95,359.78,0
01/24/2020,347.03,356.81,347.03,351.52,0
01/17/2020,346.41,350.27,345.05,347.03,0
01/10/2020,335.44,342.44,335.44,336.27,0
01/03/2020,332.68,339.56,332.68,335.85,0
12/27/2019,336.07,337.75,336.07,337.4,0
12/20/2019,326.7,335.06,326.7,334.78,0
12/13/2019,311.46,322.46,311.46,318.41,0
12/06/2019,311.64,311.68,307.81,311.68,0
11/29/2019,312,312.53,310.32,310.32,0
11/22/2019,315.24,315.41,307.74,307.74,0
11/15/2019,323.03,323.03,314.74,316.52,0
11/08/2019,315.77,322.43,315.77,322.43,0
11/01/2019,308.02,310.12,304.17,310.12,0
10/25/2019,291.08,307.96,291.08,307.96,0
10/18/2019,285.28,293.12,285.28,293.12,0
10/11/2019,274.84,283.15,269.85,283.15,0
10/04/2019,288.6,288.6,274.58,274.83,0
09/27/2019,287.83,288.29,281.07,287.7,0
09/20/2019,292.31,293.35,287.8,287.8,0
09/13/2019,293.5,298.59,293.5,297.82,0
09/06/2019,275.1,286.73,272.25,286.73,0
08/30/2019,266.22,275.1,264.7,275.1,0
08/23/2019,275.66,275.66,264.16,264.16,0
08/16/2019,280.4,283.24,266.61,272.06,0
08/09/2019,280.87,290.07,280.87,285.85,0
08/02/2019,296.18,296.51,286.83,286.83,0
07/26/2019,298,308.93,295.12,295.12,0
07/19/2019,300.49,300.64,295.8,298.77,0
07/12/2019,290.89,299.08,288.87,299.08,0
07/05/2019,294.86,294.86,291.88,294.25,0
06/28/2019,287.47,294.75,287.3,294.75,0
06/21/2019,283.72,287.94,283.72,287.94,0
06/14/2019,280.71,283.1,278.85,280.58,0
06/07/2019,260.07,275.95,260.07,275.95,0
05/31/2019,267.25,267.25,257.04,257.04,0
05/24/2019,279.18,280.09,267.25,267.25,0
05/17/2019,283.67,288.7,281.51,281.51,0
05/10/2019,303.17,303.17,293.85,294.88,0
05/03/2019,307.83,307.83,301.04,305.76,0
04/26/2019,312.77,313.36,302.27,307.85,0
04/19/2019,313.82,318.25,313.82,318.25,0
04/12/2019,310.81,315.41,308.03,315.41,0
04/05/2019,302.86,309.29,302.64,309.29,0
03/29/2019,286.48,294.5,286.48,294.5,0
03/22/2019,295.54,296.71,286.38,286.38,0
03/15/2019,302.96,302.96,296.25,296.25,0
03/08/2019,308.91,308.91,298.49,298.6,0
03/01/2019,312.71,315.66,311.64,311.64,0
02/22/2019,307.87,312.37,307.69,310.83,0
02/15/2019,299.68,307.87,299.68,307.87,0
02/08/2019,306.76,310.05,297.97,297.97,0
02/01/2019,300.4,306.5,300.28,306.49,0
01/25/2019,301.44,302.27,291.13,302.27,0
01/18/2019,303.27,305.17,301.44,301.44,0
01/11/2019,285.65,303.07,285.65,303.07,0
01/04/2019,276.68,277.3,266.79,277.3,0
12/28/2018,263.55,278.06,263.55,278.06,0
12/21/2018,287.52,287.52,273.26,273.26,0
12/14/2018,294.82,299.08,293.74,293.74,0
12/07/2018,322.08,322.08,298.23,298.23,0
11/30/2018,315.59,315.59,309.57,315.16,0
11/23/2018,309.41,309.41,304.08,304.79,0
11/16/2018,305.61,310.5,305.61,309.94,0
11/09/2018,311.35,317,309.8,309.8,0
11/02/2018,301.19,313.59,301.19,313.59,0
10/26/2018,280.04,295.58,279.1,295.58,0
10/19/2018,283.68,288.99,279.89,279.89,0
10/12/2018,298.62,298.62,281.42,281.42,0
10/05/2018,315.43,315.43,297.98,297.98,0
09/28/2018,321.04,321.04,305.36,305.36,0
09/21/2018,318.75,328.08,316.37,326.51,0
09/14/2018,315.5,319.18,312.26,319.18,0
09/07/2018,322.78,322.78,309.45,309.45,0
08/31/2018,337.29,337.29,322.78,322.78,0
08/24/2018,334.03,337.68,327.67,329.21,0
08/17/2018,336.26,336.33,330.45,330.45,0
08/10/2018,345.79,354.33,341.05,341.05,0
08/03/2018,334.2,347.15,333.65,347.15,0
07/27/2018,340.13,340.23,331.91,333.68,0
07/20/2018,345.08,351.47,343.11,343.11,0
07/13/2018,351.12,354.09,346.73,347.44,0
07/06/2018,348.29,348.29,341.06,344.83,0
06/29/2018,356.35,358.88,349.29,349.29,0
06/22/2018,380.72,380.72,360.5,360.5,0
06/15/2018,375.83,377.51,375.83,377.51,0
06/08/2018,363.04,372.65,362.58,372.65,0
06/01/2018,347.56,359.01,342.99,359.01,0
05/25/2018,351.84,351.84,347.49,347.56,0
05/18/2018,344.03,351.34,343.83,347.79,0
05/11/2018,342.64,346.91,342.34,345.87,0
05/04/2018,337.34,341.55,335.99,341.55,0
04/27/2018,342.13,344.64,340.85,342.96,0
04/20/2018,351.49,351.7,341.46,341.46,0
04/13/2018,343.3,353.19,343.3,349.47,0
04/06/2018,325.92,350.38,325.92,344.53,0
03/30/2018,340.38,340.38,327.12,334.74,0
03/23/2018,347.79,350.99,331.86,331.86,0
03/16/2018,356.97,356.97,351.95,353.48,0
03/09/2018,350.51,354.64,350.51,354.64,0
03/02/2018,370.19,370.19,346.74,347.68,0
02/23/2018,363.63,365.68,361.01,365.68,0
02/16/2018,361.64,367.51,359.68,363.63,0
02/09/2018,357.02,371.63,354.52,355.97,0
02/02/2018,383.84,383.84,370.3,370.3,0
01/26/2018,387.58,389.64,382.44,387.34,0
01/19/2018,394.31,394.31,386.98,387.14,0
01/12/2018,388.54,394.31,384.7,394.31,0
01/05/2018,371.97,385.3,371.97,385.3,0
12/29/2017,371.51,371.51,365.89,365.89,0
12/22/2017,373.63,374.39,371.51,371.51,0
12/15/2017,370.5,372.71,365.78,369.09,0
12/08/2017,370.21,370.21,366.66,369.46,0
12/01/2017,366.08,371.49,366.08,369.84,0
11/24/2017,365.26,366.99,364.75,365.86,0
11/17/2017,360.04,361.6,357.17,361.6,0
11/10/2017,358.21,358.21,354.55,355.78,0
11/03/2017,362.83,366.85,360.18,360.18,0
10/27/2017,370.82,375.02,366.92,366.92,0
10/20/2017,376.33,377.84,373.88,373.88,0
10/13/2017,375.08,377.53,374.41,375.85,0
10/06/2017,369,377.15,369,377.15,0
09/29/2017,364.27,364.9,362.9,363.29,0
09/22/2017,361.51,361.51,360.43,361.32,0
09/15/2017,347.9,361.05,347.9,361.05,0
09/08/2017,344.97,344.97,341.83,341.83,0
09/01/2017,332.22,344.97,332.22,344.97,0
08/25/2017,327.43,333.15,327.43,333.15,0
