DATE,GDPC1
2000-01-01,12924.179
2000-04-01,13160.842
2000-07-01,13178.419
2000-10-01,13260.506
2001-01-01,13222.69
2001-04-01,13299.984
2001-07-01,13244.784
2001-10-01,13280.859
2002-01-01,13397.002
2002-04-01,13478.152
2002-07-01,13538.072
2002-10-01,13559.032
2003-01-01,13634.253
2003-04-01,13751.543
2003-07-01,13985.073
2003-10-01,14145.645
2004-01-01,14221.147
2004-04-01,14329.523
2004-07-01,14464.984
2004-10-01,14609.876
2005-01-01,14771.602
2005-04-01,14839.782
2005-07-01,14972.054
2005-10-01,15066.597
2006-01-01,15267.026
2006-04-01,15302.705
2006-07-01,15326.368
2006-10-01,15456.928
2007-01-01,15493.328
2007-04-01,15582.085
2007-07-01,15666.738
2007-10-01,15761.967
2008-01-01,15671.383
2008-04-01,15752.308
2008-07-01,15667.032
2008-10-01,15328.027
2009-01-01,15155.94
2009-04-01,15134.117
2009-07-01,15189.222
2009-10-01,15356.058
2010-01-01,15415.145
2010-04-01,15557.277
2010-07-01,15671.967
2010-10-01,15750.625
2011-01-01,15712.754
2011-04-01,15825.096
2011-07-01,15820.7
2011-10-01,16004.107
2012-01-01,16129.418
2012-04-01,16198.807
2012-07-01,16220.667
2012-10-01,16239.138
2013-01-01,16382.964
2013-04-01,16403.18
2013-07-01,16531.685
2013-10-01,16663.649
2014-01-01,16616.54
2014-04-01,16841.475
2014-07-01,17047.098
2014-10-01,17143.038
2015-01-01,17305.752
2015-04-01,17422.845
2015-07-01,17486.021
2015-10-01,17514.062
2016-01-01,17613.264
2016-04-01,17668.203
2016-07-01,17764.388
2016-10-01,17876.179
2017-01-01,17977.299
2017-04-01,18054.052
2017-07-01,18185.636
2017-10-01,18359.432
2018-01-01,18530.483
2018-04-01,18654.383
2018-07-01,18752.355
2018-10-01,18813.923
2019-01-01,18950.347
2019-04-01,19020.599
2019-07-01,19141.744
2019-10-01,19253.959
2020-01-01,19010.848
2020-04-01,17302.511
2020-07-01,18596.521
