DATE,POPTHM
1959-01-01,175818
1959-02-01,176044
1959-03-01,176274
1959-04-01,176503
1959-05-01,176723
1959-06-01,176954
1959-07-01,177208
1959-08-01,177479
1959-09-01,177755
1959-10-01,178026
1959-11-01,178273
1959-12-01,178504
1960-01-01,178925.0
1960-02-01,179326.0
1960-03-01,179707.0
1960-04-01,180067.0
1960-05-01,180408.0
1960-06-01,180728.0
1960-07-01,181028.0
1960-08-01,181308.0
1960-09-01,181567.0
1960-10-01,181807.0
1960-11-01,182026.0
1960-12-01,182225.0
1961-01-01,182404
1961-02-01,182631
1961-03-01,182867
1961-04-01,183105
1961-05-01,183335
1961-06-01,183572
1961-07-01,183825
1961-08-01,184101
1961-09-01,184384
1961-10-01,184654
1961-11-01,184900
1961-12-01,185129
1962-01-01,185347
1962-02-01,185551
1962-03-01,185762
1962-04-01,185981
1962-05-01,186201
1962-06-01,186426
1962-07-01,186664
1962-08-01,186924
1962-09-01,187191
1962-10-01,187449
1962-11-01,187685
1962-12-01,187905
1963-01-01,188113
1963-02-01,188300
1963-03-01,188484
1963-04-01,188685
1963-05-01,188904
1963-06-01,189130
1963-07-01,189369
1963-08-01,189629
1963-09-01,189895
1963-10-01,190147
1963-11-01,190369
1963-12-01,190570
1964-01-01,190763
1964-02-01,190953
1964-03-01,191146
1964-04-01,191346
1964-05-01,191557
1964-06-01,191778
1964-07-01,192010
1964-08-01,192254
1964-09-01,192504
1964-10-01,192739
1964-11-01,192943
1964-12-01,193131
1965-01-01,193308
1965-02-01,193467
1965-03-01,193625
1965-04-01,193799
1965-05-01,193988
1965-06-01,194195
1965-07-01,194416
1965-08-01,194645
1965-09-01,194879
1965-10-01,195096
1965-11-01,195284
1965-12-01,195456
1966-01-01,195614
1966-02-01,195760
1966-03-01,195915
1966-04-01,196089
1966-05-01,196275
1966-06-01,196466
1966-07-01,196661
1966-08-01,196873
1966-09-01,197096
1966-10-01,197303
1966-11-01,197485
1966-12-01,197654
1967-01-01,197814
1967-02-01,197965
1967-03-01,198122
1967-04-01,198287
1967-05-01,198452
