Date,Price,Open,High,Low,Vol.,Change %
17-Jan-21,52.27,52,53.79,51.44,516.20K,-0.17%
10-Jan-21,52.36,52.58,53.93,51.5,1.62M,0.23%
3-Jan-21,52.24,48.4,52.75,47.18,2.05M,7.67%
27-Dec-20,48.52,48.23,48.96,47.5,901.09K,0.60%
20-Dec-20,48.23,48.54,48.62,46.16,835.39K,-1.77%
13-Dec-20,49.1,46.73,49.28,45.69,1.09M,5.43%
6-Dec-20,46.57,46.15,47.74,44.95,1.56M,0.67%
29-Nov-20,46.26,45.34,46.68,43.92,1.41M,1.60%
22-Nov-20,45.53,42.46,46.26,42.29,1.14M,8.02%
15-Nov-20,42.15,40.17,42.46,40.15,817.62K,5.03%
8-Nov-20,40.13,37.34,43.06,37.16,1.92M,8.05%
1-Nov-20,37.14,35.24,39.35,33.64,1.64M,3.77%
25-Oct-20,35.79,39.69,39.83,34.92,2.15M,-10.19%
18-Oct-20,39.85,40.69,41.7,39.57,1.04M,-2.52%
11-Oct-20,40.88,40.4,41.29,39.04,1.37M,0.69%
4-Oct-20,40.6,37,41.47,37,1.95M,9.58%
27-Sep-20,37.05,40.07,40.8,36.63,1.78M,-7.95%
20-Sep-20,40.25,40.98,41.27,38.66,907.18K,-2.09%
13-Sep-20,41.11,37.32,41.49,36.82,1.42M,10.13%
6-Sep-20,37.33,39.48,39.59,36.13,1.91M,-6.14%
30-Aug-20,39.77,42.91,43.57,39.35,1.81M,-7.45%
23-Aug-20,42.97,42.48,43.78,42.23,1.48M,1.49%
16-Aug-20,42.34,42.24,43.03,41.46,774.15K,0.79%
9-Aug-20,42.01,41.5,42.94,41.17,1.84M,1.92%
2-Aug-20,41.22,40.39,43.52,39.58,2.04M,2.36%
26-Jul-20,40.27,41.26,41.93,38.72,1.76M,-2.47%
19-Jul-20,41.29,40.64,42.4,39.83,1.16M,1.72%
12-Jul-20,40.59,40.35,41.26,39.07,1.44M,0.10%
5-Jul-20,40.55,40.31,41.08,38.54,1.68M,-0.25%
28-Jun-20,40.65,37.96,40.74,37.5,1.47M,5.61%
21-Jun-20,38.49,39.18,41.63,37.08,1.71M,-3.17%
14-Jun-20,39.75,36.03,40.49,34.36,1.17M,9.62%
7-Jun-20,36.26,39.41,40.44,34.48,2.12M,-8.32%
31-May-20,39.55,35.21,39.68,34.27,1.93M,11.44%
24-May-20,35.49,33.3,35.77,31.14,1.77M,6.74%
17-May-20,33.25,29.53,34.66,29.53,1.33M,12.98%
10-May-20,29.43,24.49,29.92,23.67,811.31K,18.96%
3-May-20,24.74,19.11,26.74,18.05,1.60M,25.08%
26-Apr-20,19.78,16.84,20.48,10.07,3.02M,16.77%
19-Apr-20,16.94,17.73,18.26,-40.32,2.94M,-7.28%
12-Apr-20,18.27,24.6,24.74,17.31,2.70M,-19.73%
5-Apr-20,22.76,26.09,28.36,22.57,3.50M,-19.69%
29-Mar-20,28.34,20.93,29.13,19.27,4.23M,31.75%
22-Mar-20,21.51,22.52,25.24,20.8,3.37M,-4.10%
15-Mar-20,22.43,33.75,33.75,19.46,1.72M,-29.31%
8-Mar-20,31.73,32.87,36.35,27.34,5.48M,-23.13%
1-Mar-20,41.28,43.7,48.66,41.05,4.69M,-7.77%
23-Feb-20,44.76,52.6,52.64,43.85,4.53M,-16.15%
16-Feb-20,53.38,52.23,54.5,50.88,1.07M,2.56%
