Country Name,United States
Country Code,USA
Indicator Name,Urban population
Indicator Code,SP.URB.TOTL
1960,126462473
1961,129276215
1962,131988693
1963,134615404
1964,137215986
1965,139663053
1966,142008703
1967,144288757
1968,146463196
1969,148629124
1970,150922373
1971,152865492
1972,154531732
1973,156034954
1974,157488501
1975,159070594
1976,160611122
1977,162256678
1978,164005080
1979,165847531
1980,167551171
1981,169552427
1982,171528659
1983,173459636
1984,175321738
1985,177239105
1986,179244877
1987,181215212
1988,183232441
1989,185333919
1990,187966119
1991,191509147
1992,195199459
1993,198806845
1994,202278113
1995,205718394
1996,209146726
1997,212694273
1998,216206090
1999,219721677
2000,223069137
2001,225792302
2002,228400290
2003,230876596
2004,233532722
2005,236200507
2006,238999326
2007,241795278
2008,244607104
2009,247276259
2010,249845296
2011,252186596
2012,254576561
2013,256899730
2014,259361210
2015,261865944
2016,264366216
2017,266676634
2018,268720071
2019,270663028
2020,
