"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Urban population","SP.URB.TOTL","27526","28141","28532","28761","28924","29082","29253","29416","29575","29738","29900","30082","30275","30470","30605","30661","30615","30495","30353","30282","30332","30560","30943","31365","31676","31762","31560","31142","30753","30720","31273","32507","34116","35953","37719","39172","40232","40970","41488","41945","42444","43048","43670","44246","44669","44889","44882","44686","44378","44053","43778","43819","44057","44348","44665","44979","45296","45616","45948","46295","",
"Afghanistan","AFG","Urban population","SP.URB.TOTL","755836","796272","839385","885228","934135","986074","1041191","1099272","1161355","1228273","1300947","1379463","1463290","1551037","1640868","1730928","1821611","1912078","1997578","2070935","2136374","2181492","2208967","2225071","2241318","2267901","2305807","2357345","2439549","2502909","2628554","2828169","3093388","3391712","3677087","3916248","4093835","4220821","4321584","4434762","4587798","4790053","5031157","5293385","5563504","5824291","6055019","6263747","6464835","6680732","6927764","7212518","7528588","7865067","8204877","8535606","8852859","9164841","9477100","9797273","",
"Angola","AGO","Urban population","SP.URB.TOTL","569222","597288","628381","660180","691532","721552","749534","776116","804107","837758","881022","944294","1028199","1124624","1230706","1343551","1462599","1588714","1723460","1868827","2026766","2197870","2382559","2581259","2794528","3022271","3265593","3525101","3801100","4092906","4400964","4725626","5067883","5427584","5806611","6159458","6530150","6918998","7328066","7758423","8212001","8688765","9190861","9721267","10284528","10882817","11437890","12025601","12644649","13291081","13963065","14660282","15383127","16130304","16900847","17691524","18502165","19332881","20184707","21061025","",
"Albania","ALB","Urban population","SP.URB.TOTL","493982","513592","530766","547928","565248","582374","599300","616687","635924","656733","677801","698647","720649","742333","764166","786668","809052","832109","854618","876974","902120","927513","954645","982645","1011235","1040127","1068501","1098349","1127722","1167160","1197222","1198912","1209490","1219882","1230218","1240399","1250518","1260414","1270214","1279853","1289391","1298584","1327220","1354848","1381828","1407298","1430886","1452398","1473392","1495260","1519519","1546929","1575788","1603505","1630119","1654503","1680247","1706345","1728969","1747593","",
"Andorra","AND","Urban population","SP.URB.TOTL","7839","8766","9754","10811","11915","13067","14262","15494","16765","18083","19458","20902","22401","23917","25397","26791","28085","29304","30491","31774","33205","34800","36561","38451","40421","42441","44342","46118","47926","49758","51627","53571","55546","57380","58847","59803","60128","59940","59605","59649","60417","61991","64194","66747","69192","71205","72737","73843","74641","75098","75007","74305","73056","71515","70057","68919","68213","67876","67813","67873","",
"Arab World","ARB","Urban population","SP.URB.TOTL","28797177","30292822","31856717","33513046","35275337","37163923","39098493","41001112","42996408","45072707","47229284","49429106","51727556","54115419","56549730","59099824","61785183","64577382","67503341","70549324","73737094","77054778","80484020","84070470","87839724","91672509","95591270","99470780","103272586","107044154","112206722","116156932","118292234","122375818","126184129","131351758","134842559","138406860","142044221","145772453","149612197","153594293","157691914","162002764","166570979","171562844","176916084","182152279","188077348","194146230","200303061","206244906","212088831","217954644","223793602","229821020","235729168","241543664","247363364","253306246","",
"United Arab Emirates","ARE","Urban population","SP.URB.TOTL","67927","74975","84367","95215","106178","116473","125594","134581","145736","162079","187142","221422","264117","314910","373026","437544","509719","589055","670988","750151","822846","884778","937273","985801","1035513","1090254","1151666","1218885","1290898","1366670","1445394","1528530","1616857","1708391","1800335","1891474","1993036","2108720","2233073","2367192","2514646","2663808","2820140","3024185","3330979","3774366","4380488","5121554","5911711","6630166","7189428","7553138","7747411","7824294","7866602","7935897","8047166","8182523","8332898","8479744","",
"Argentina","ARG","Urban population","SP.URB.TOTL","15076842","15449950","15815502","16183085","16552517","16923103","17295214","17669088","18048312","18436396","18836987","19242926","19659181","20084772","20514213","20943260","21370520","21797026","22227673","22668000","23122595","23609667","24118025","24636888","25163825","25695319","26230730","26769637","27309085","27844463","28373007","28887229","29352243","29809452","30260590","30705908","31145811","31579645","32009566","32438320","32867357","33297967","33728934","34159485","34588886","35015695","35439470","35861110","36284569","36714245","37055902","37543830","38027774","38509756","38990109","39467043","39940546","40410674","40877099","41339571","",
"Armenia","ARM","Urban population","SP.URB.TOTL","960956","1012430","1065431","1119586","1174560","1229980","1285572","1341279","1397345","1454162","1511607","1569626","1628591","1688031","1747461","1801946","1855659","1908579","1960880","2007503","2047388","2085897","2122749","2159333","2197507","2238082","2282858","2330099","2372864","2393839","2385470","2353781","2302487","2240032","2178122","2125284","2084087","2052299","2027672","2006227","1984982","1964185","1948906","1935611","1921601","1906164","1888554","1869221","1850408","1835094","1825371","1821999","1823986","1830230","1838076","1845585","1852180","1858263","1864017","1869848","",
"American Samoa","ASM","Urban population","SP.URB.TOTL","13324","13729","14254","14871","15522","16176","16818","17462","18082","18687","19259","19808","20335","20829","21299","21744","22153","22549","22982","23524","24266","25290","26486","27829","29258","30731","32241","33782","35323","36836","38326","39866","41308","42680","44012","45336","46645","47916","49131","50281","51222","51762","52223","52540","52637","52474","52014","51303","50477","49709","49122","48790","48664","48664","48699","48689","48605","48484","48339","48203","",
