week,oil_futures,cpi,us_pop,public_roads,us_urban_pop,oil_production,auto_sales,us_real_gdp,gasoline
2001-01-07,30.05,78.64598465,283960.0,3951330.509,223120517.5,5944,17.6291449,12999.5699,1.425
2001-01-14,32.19,68.15853647,284011.5,3951560.019,223171897.9,5949,17.8506908,12293.3405,1.474
2001-01-21,29.77,76.14942563,284063.0,3951789.528,223223278.4,5912,16.4990391,12708.8104,1.471
2001-01-28,31.19,76.11622408,284114.5,3952019.038,223274658.9,5935,14.1632104,12287.2265,1.460
2001-02-04,31.03,66.69315146,284166.0,3952248.547,223326039.4,5929,16.9175723,13353.2628,1.443
2001-02-11,29.16,78.37142503,284219.5,3952478.057,223377419.8,5866,18.8291756,13160.5703,1.476
2001-02-18,29.04,72.13921576,284273.0,3952707.566,223428800.3,5857,18.6300547,13254.4479,1.449
2001-02-25,27.84,67.89534477,284326.5,3952937.075,223480180.8,5875,16.5588393,14286.1856,1.431
2001-03-04,28.01,83.70191158,284380.0,3953166.585,223531561.2,5876,17.7921192,13335.2892,1.417
2001-03-11,26.74,67.89681433,284435.5,3953396.094,223582941.7,5868,19.2765086,12555.2654,1.412
2001-03-18,27.30,77.31721431,284491.0,3953625.604,223634322.2,5883,18.1699409,13146.4006,1.404
2001-03-25,26.29,71.87011298,284546.5,3953855.113,223685702.7,5868,17.6063154,11982.2289,1.404
2001-04-01,27.06,74.86245642,284602.0,3954084.623,223737083.1,5883,16.6410415,13936.6979,1.442
2001-04-08,28.25,67.84048567,284648.4,3954314.132,223788463.6,5867,16.4230808,12809.3245,1.500
2001-04-15,27.28,82.22901722,284694.8,3954543.642,223839844.1,5855,16.7945745,13474.2006,1.571
2001-04-22,28.27,76.82493104,284741.2,3954773.151,223891224.5,5861,17.0163778,13236.2220,1.619
2001-04-29,28.36,76.89867482,284787.6,3955002.660,223942605.0,5884,19.3063089,12673.8415,1.626
2001-05-06,28.55,72.54530278,284834.0,3955232.170,223993985.5,5831,17.7747852,13062.4278,1.703
2001-05-13,29.91,69.87590230,284894.5,3955461.679,224045366.0,5780,17.8258498,12797.0577,1.713
2001-05-20,28.38,82.92414664,284955.0,3955691.189,224096746.4,5785,18.4761921,12918.3693,1.687
2001-05-27,27.93,80.29238407,285015.5,3955920.698,224148126.9,5819,14.3868584,13516.3057,1.704
2001-06-03,28.33,74.89502894,285076.0,3956150.208,224199507.4,5823,16.8738458,13277.8218,1.679
2001-06-10,28.51,70.46184594,285138.0,3956379.717,224250887.8,5746,17.0933517,13622.3093,1.647
2001-06-17,26.83,71.13423402,285200.0,3956609.226,224302268.3,5726,17.7345850,12666.4285,1.601
2001-06-24,26.25,79.66635312,285262.0,3956838.736,224353648.8,5740,17.0137003,13307.9349,1.538
2001-07-01,28.21,73.72712971,285324.0,3957068.245,224405029.3,5756,15.8921305,12822.0243,1.474
2001-07-08,26.59,74.63466547,285376.0,3957297.755,224456409.7,5756,15.0614292,13434.4618,1.437
2001-07-15,25.59,70.25117924,285428.0,3957527.264,224507790.2,5770,17.2213884,13502.6079,1.413
2001-07-22,27.02,71.84062777,285480.0,3957756.774,224559170.7,5731,17.7688543,12650.6364,1.395
2001-07-29,27.62,75.48345572,285532.0,3957986.283,224610551.2,5705,14.0808640,13098.5702,1.384
2001-08-05,28.05,78.64421125,285584.0,3958215.792,224661931.6,5745,17.4456775,13617.5645,1.376
2001-08-12,26.68,77.18862354,285648.5,3958445.302,224713312.1,5773,18.0339050,13759.6033,1.392
2001-08-19,26.90,76.37143702,285713.0,3958674.811,224764692.6,5785,16.4035180,13217.0956,1.427
2001-08-26,27.20,72.09095966,285777.5,3958904.321,224816073.0,5796,16.4273311,13211.8681,1.488
2001-09-02,28.03,75.37854563,285842.0,3959133.830,224867453.5,5751,15.4831024,13661.2323,1.545
2001-09-09,29.53,72.33465495,285890.8,3959363.340,224918834.0,5829,15.2551621,13621.5250,1.527
2001-09-16,25.97,67.93533920,285939.6,3959592.849,224970214.5,5814,17.5068530,12966.6297,1.529
2001-09-23,23.43,77.76863067,285988.4,3959822.358,225021594.9,5789,15.0164202,12986.1702,1.485
2001-09-30,22.39,80.19580186,286037.2,3960051.868,225072975.4,5735,16.9837787,13716.9723,1.416
2001-10-07,22.50,74.88493830,286086.0,3960281.377,225124355.9,5736,23.3084528,13773.1400,1.352
2001-10-14,21.83,68.19160178,286143.3,3960510.887,225175736.3,5515,23.7443961,12747.7991,1.309
2001-10-21,22.03,73.44810923,286200.5,3960740.396,225227116.8,5828,22.0869232,13255.7800,1.265
2001-10-28,20.18,66.87181278,286257.8,3960969.906,225278497.3,5879,21.0605124,13310.2116,1.235
2001-11-04,22.22,77.81698398,286315.0,3961199.415,225329877.8,5859,16.2641101,13215.4319,1.206
2001-11-11,18.03,81.81692344,286369.5,3961428.925,225381258.2,5863,14.7086120,13608.3161,1.182
2001-11-18,18.96,78.20220113,286424.0,3961658.434,225432638.7,5872,17.3662022,12859.7232,1.167
2001-11-25,19.44,74.90162696,286478.5,3961887.943,225484019.2,5882,18.1679334,13554.8683,1.127
