week,oil_futures,cpi,us_pop,public_roads,us_urban_pop,oil_production,djus_auto_index,auto_sales,us_real_gdp,usd_mex_exrate,gasoline
2009-01-04,40.83,93.26217751,306035.0,4059352.000,244607104.0,4935,83.77,10.5357317,14476.2498,13.65769958,1.684
2009-01-11,36.51,91.81716915,306085.5,4059506.692,244658433.9,4917,83.06,8.3471243,16075.1555,13.89949989,1.784
2009-01-18,46.47,91.12247455,306136.0,4059661.385,244709763.8,5052,74.02,8.5740112,15137.1916,14.02509975,1.847
2009-01-25,41.68,87.88814217,306186.5,4059816.077,244761093.7,5045,64.56,8.9619346,15155.3440,14.25570011,1.838
2009-02-01,40.17,82.71526479,306237.0,4059970.769,244812423.6,5235,62.59,9.3488765,15538.1713,14.11919975,1.892
2009-02-08,37.51,93.36764893,306287.3,4060125.462,244863753.5,5327,68.81,9.4859761,15471.4008,14.51669979,1.926
2009-02-15,38.94,88.78971695,306337.5,4060280.154,244915083.4,5323,64.63,9.1676046,14543.0576,14.78160000,1.964
2009-02-22,44.76,97.86912526,306387.8,4060434.846,244966413.3,5300,56.43,11.9039000,14784.8645,15.33180046,1.909
2009-03-01,45.52,81.81577662,306438.0,4060589.538,245017743.2,5373,57.12,10.1117351,15104.8933,15.16699982,1.934
2009-03-08,46.25,90.42459927,306479.4,4060744.231,245069073.1,5401,47.91,9.7210142,15138.5438,14.62399960,1.941
2009-03-15,51.06,89.68480464,306520.8,4060898.923,245120403.0,5414,57.21,8.3084580,15889.1075,14.03299999,1.910
2009-03-22,52.38,93.59348474,306562.2,4061053.615,245171732.9,5432,65.02,10.6221963,15121.9490,14.33880043,1.962
2009-03-29,52.51,105.50848398,306603.6,4061208.308,245223062.8,5480,71.65,7.6269498,15312.9473,13.54179955,2.046
2009-04-05,52.24,97.28367711,306645.0,4061363.000,245274392.8,5469,79.32,9.3045116,15389.4132,13.13000011,2.037
2009-04-12,50.33,79.21638417,306699.5,4061517.692,245325722.7,5482,88.05,8.4537849,14744.1587,13.09780025,2.051
2009-04-19,51.55,95.22345837,306754.0,4061672.385,245377052.6,5421,89.79,9.1553834,14624.3705,13.55049992,2.059
2009-04-26,53.20,90.47665312,306808.5,4061827.077,245428382.5,5269,100.31,9.9355661,15090.7143,13.72599983,2.049
2009-05-03,58.63,83.20526212,306863.0,4061981.769,245479712.4,5280,103.88,9.8826087,15989.9409,13.02280045,2.078
2009-05-10,56.34,85.39193122,306908.4,4062136.462,245531042.3,5306,109.85,9.6697786,15506.4052,13.23009968,2.240
2009-05-17,61.67,83.63227443,306953.8,4062291.154,245582372.2,5352,97.48,12.1496649,13937.4647,13.18200016,2.309
2009-05-24,66.31,93.41638706,306999.2,4062445.846,245633702.1,5364,97.21,9.7989866,15393.4521,13.13599968,2.435
2009-05-31,68.44,93.09397734,307044.6,4062600.538,245685032.0,5358,102.71,10.1651066,15139.8865,13.23859978,2.524
2009-06-07,72.04,81.71419687,307090.0,4062755.231,245736361.9,5358,110.96,9.3332793,14824.8775,13.39430046,2.624
2009-06-14,69.55,86.21467252,307148.0,4062909.923,245787691.8,5273,108.14,10.0187922,15951.9490,13.35550022,2.672
2009-06-21,69.16,87.40114379,307206.0,4063064.615,245839021.7,5257,103.45,8.1078136,15510.0064,13.21300030,2.691
2009-06-28,66.73,101.03777750,307264.0,4063219.308,245890351.6,5163,103.11,11.0278534,15441.2667,13.28989983,2.642
2009-07-05,59.89,90.17048156,307322.0,4063374.000,245941681.5,5171,104.07,12.0711938,14318.1102,13.67570019,2.612
2009-07-12,63.56,90.07240460,307384.0,4063528.692,245993011.4,5171,100.98,10.7439899,15632.4616,13.33800030,2.528
2009-07-19,68.05,84.31702617,307446.0,4063683.385,246044341.3,5176,110.49,8.6067465,14560.4431,13.18700027,2.463
2009-07-26,69.45,95.57834986,307508.0,4063838.077,246095671.2,5107,122.90,12.8737034,15250.1881,13.17800045,2.503
2009-08-02,70.93,86.47059764,307570.0,4063992.769,246147001.1,5246,132.89,15.1323109,15728.7843,12.96840000,2.557
2009-08-09,67.51,85.09947302,307621.2,4064147.462,246198331.0,5172,135.59,15.5751287,15456.0037,12.85499954,2.647
2009-08-16,73.89,96.70470740,307672.4,4064302.154,246249660.9,5169,131.37,15.1020776,15473.4785,12.82479954,2.637
2009-08-23,72.74,91.80518630,307723.6,4064456.846,246300990.8,5173,131.97,14.0140785,15673.6288,13.23950005,2.628
2009-08-30,68.02,96.10027591,307774.8,4064611.538,246352320.7,5244,129.77,15.3472252,14918.9904,13.37150002,2.613
2009-09-06,69.29,99.27969399,307826.0,4064766.231,246403650.6,5266,127.28,8.6323441,14657.4655,13.33199978,2.588
2009-09-13,72.04,88.77604432,307887.3,4064920.923,246454980.5,5304,131.47,9.5634503,15234.8004,13.24219990,2.577
2009-09-20,66.02,84.00207811,307948.5,4065075.615,246506310.4,5300,130.15,10.3617968,15495.1688,13.56200027,2.552
2009-09-27,69.95,98.92698663,308009.8,4065230.308,246557640.3,5375,127.01,9.5126108,15632.2362,13.60849953,2.499
2009-10-04,71.77,98.00536291,308071.0,4065385.000,246608970.3,5360,120.95,11.1480943,15510.5532,13.27540016,2.468
2009-10-11,78.53,78.29153384,308125.5,4065539.692,246660300.2,5377,130.96,11.3814092,14646.6040,13.10289955,2.489
2009-10-18,80.50,92.18839483,308180.0,4065694.385,246711630.1,5371,133.76,12.7239323,15028.8582,13.05020046,2.574
2009-10-25,77.00,86.19722836,308234.5,4065849.077,246762960.0,5357,136.40,8.9956835,15541.8400,13.24370003,2.674
