week,crude_oil,cpi,coal_consumption,ngas_consumption,us_pop,oil_production,cattle_index,tree_cover_loss,us_real_gdp,usd_mex_exrate,co2
2009-01-04,42.40,93.26217751,80527.66971,1166510.7448,306035.0,4935,297.27,1406957.794,14476.2498,13.65769958,386.40
2009-01-11,44.46,91.81716915,81500.87953,935736.1907,306085.5,4917,288.70,1567991.001,16075.1555,13.89949989,387.02
2009-01-18,36.73,91.12247455,97916.98177,938994.6860,306136.0,5052,299.23,1336297.836,15137.1916,14.02509975,387.14
2009-01-25,42.15,87.88814217,84498.02661,904605.3874,306186.5,5045,292.83,1652557.380,15155.3440,14.25570011,387.50
2009-02-01,42.70,82.71526479,89510.77745,799294.7812,306237.0,5235,290.44,1470782.481,15538.1713,14.11919975,387.03
2009-02-08,40.78,93.36764893,71098.88197,618320.0392,306287.3,5327,295.90,1593090.687,15471.4008,14.51669979,386.94
2009-02-15,36.94,88.78971695,74517.40904,760844.1279,306337.5,5323,296.93,1502749.892,14543.0576,14.78160000,387.62
2009-02-22,37.15,97.86912526,85504.95182,813072.3426,306387.8,5300,284.73,1555384.057,14784.8645,15.33180046,388.22
2009-03-01,41.10,81.81577662,85588.57982,578548.6706,306438.0,5373,293.26,1390616.526,15104.8933,15.16699982,389.08
2009-03-08,43.18,90.42459927,73251.34166,607066.7230,306479.4,5401,280.46,1847258.940,15138.5438,14.62399960,388.80
2009-03-15,45.66,89.68480464,74651.50317,728545.5122,306520.8,5414,280.20,1572770.971,15889.1075,14.03299999,388.20
2009-03-22,49.49,93.59348474,88029.33328,607862.7477,306562.2,5432,282.76,1933223.874,15121.9490,14.33880043,389.29
2009-03-29,52.99,105.50848398,81588.96621,786643.0421,306603.6,5480,278.41,1451331.110,15312.9473,13.54179955,389.04
2009-04-05,50.34,97.28367711,72928.73097,389615.9568,306645.0,5469,287.29,1181283.104,15389.4132,13.13000011,389.43
2009-04-12,50.46,79.21638417,72626.84388,553381.6950,306699.5,5482,288.74,1278670.711,14744.1587,13.09780025,388.93
2009-04-19,49.86,95.22345837,69962.81952,351902.9953,306754.0,5421,288.48,1752394.499,14624.3705,13.55049992,389.56
2009-04-26,47.80,90.47665312,62897.72510,288745.0650,306808.5,5269,281.91,1557440.720,15090.7143,13.72599983,390.52
2009-05-03,50.20,83.20526212,74206.94696,121060.5266,306863.0,5280,280.20,1627921.213,15989.9409,13.02280045,389.76
2009-05-10,55.96,85.39193122,70705.41812,576222.4508,306908.4,5306,284.04,1449583.243,15506.4052,13.23009968,390.17
2009-05-17,57.94,83.63227443,68756.66813,31301.3932,306953.8,5352,281.66,1751162.551,13937.4647,13.18200016,390.38
2009-05-24,60.32,93.41638706,69169.27843,360071.4520,306999.2,5364,285.92,1423014.395,15393.4521,13.13599968,390.41
2009-05-31,64.32,93.09397734,85285.69079,230977.7072,307044.6,5358,279.27,1725623.839,15139.8865,13.23859978,389.85
2009-06-07,68.11,81.71419687,63891.68389,237182.9393,307090.0,5358,276.96,1497634.491,14824.8775,13.39430046,390.20
2009-06-14,70.85,86.21467252,78920.87741,594720.9867,307148.0,5273,278.50,1420125.624,15951.9490,13.35550022,389.42
2009-06-21,70.62,87.40114379,94114.70612,316539.0036,307206.0,5257,280.29,1446100.539,15510.0064,13.21300030,388.49
2009-06-28,68.58,101.03777750,96335.25878,-123529.2325,307264.0,5163,281.23,1592382.466,15441.2667,13.28989983,388.69
2009-07-05,69.32,90.17048156,91931.14927,84833.2716,307322.0,5171,289.68,1556423.607,14318.1102,13.67570019,388.48
2009-07-12,61.48,90.07240460,86634.50848,254757.6723,307384.0,5171,295.49,1309379.952,15632.4616,13.33800030,388.36
2009-07-19,61.29,84.31702617,89676.92666,275855.2227,307446.0,5176,313.82,1802083.996,14560.4431,13.18700027,387.68
2009-07-26,65.28,95.57834986,98398.06480,31689.3077,307508.0,5107,306.31,1457433.144,15250.1881,13.17800045,387.37
2009-08-02,67.03,86.47059764,96428.95595,115161.3797,307570.0,5246,307.85,1748561.206,15728.7843,12.96840000,387.06
2009-08-09,71.58,85.09947302,83563.27643,43932.5800,307621.2,5172,304.18,1570400.981,15456.0037,12.85499954,386.01
2009-08-16,69.64,96.70470740,86082.18184,16184.9177,307672.4,5169,302.22,1560253.029,15473.4785,12.82479954,385.70
2009-08-23,70.80,91.80518630,94247.95355,180892.5116,307723.6,5173,302.39,1389256.020,15673.6288,13.23950005,385.86
2009-08-30,72.37,96.10027591,89980.96011,55273.9500,307774.8,5244,295.90,1632521.183,14918.9904,13.37150002,385.15
2009-09-06,68.39,99.27969399,77171.67317,273458.2255,307826.0,5266,295.73,1560786.270,14657.4655,13.33199978,384.69
2009-09-13,70.91,88.77604432,82955.87834,103923.2028,307887.3,5304,296.88,1918771.186,15234.8004,13.24219990,384.76
2009-09-20,71.32,84.00207811,72194.94347,213026.6228,307948.5,5300,289.76,1884153.596,15495.1688,13.56200027,384.62
2009-09-27,68.33,98.92698663,65144.28458,144432.7460,308009.8,5375,291.30,1752568.282,15632.2362,13.60849953,384.03
2009-10-04,68.84,98.00536291,69444.39202,52664.5106,308071.0,5360,286.69,1564987.729,15510.5532,13.27540016,383.88
2009-10-11,70.80,78.29153384,72301.69051,298163.5683,308125.5,5377,289.93,1420240.975,14646.6040,13.10289955,384.38
2009-10-18,75.73,92.18839483,70766.87513,385404.6922,308180.0,5371,292.83,1537751.390,15028.8582,13.05020046,384.71
2009-10-25,80.06,86.19722836,82726.04861,107315.2839,308234.5,5357,298.29,1351045.937,15541.8400,13.24370003,385.01
2009-11-01,78.47,90.69360801,85228.66419,386664.6519,308289.0,5391,292.41,1387037.930,15609.6633,13.42479992,385.36
2009-11-08,79.00,87.17050164,90495.19237,308424.1195,308330.2,5506,290.97,1235175.889,14385.5843,13.02350044,385.69
2009-11-15,78.24,86.39811365,77246.82160,693042.2505,308371.4,5317,290.61,1469860.758,14891.3074,13.06309986,386.34
2009-11-22,78.37,90.57445667,75489.73316,208022.2720,308412.6,5433,291.55,1638937.633,14630.6548,12.88949966,386.38
2009-11-29,76.14,96.35268624,83642.89326,415565.2691,308453.8,5561,291.72,1618710.460,14599.4220,12.64029980,387.07
2009-12-06,76.81,94.07435648,93683.11647,1119617.8751,308495.0,5538,283.96,1523375.790,14770.9806,12.88599968,386.97
2009-12-13,71.51,88.27407449,85944.48972,916306.4359,308547.8,5524,284.21,1557617.097,15406.7716,12.84879971,386.87
2009-12-20,71.72,92.27426684,90715.16909,630291.4080,308600.5,5524,289.59,1514938.363,15081.6501,12.86699963,388.40
