week,crude_oil,cpi,us_pop,public_roads,us_urban_pop,oil_production,djus_auto_index,auto_sales,us_real_gdp,usd_mex_exrate,gasoline
2009/1/4,42.4,93.26217751,306035,4059352,244607104,4935,83.77,10.5357317,14476.2498,13.65769958,1.684
2009/1/11,44.46,91.81716915,306085.5,4059506.692,244658433.9,4917,83.06,8.3471243,16075.1555,13.89949989,1.784
2009/1/18,36.73,91.12247455,306136,4059661.385,244709763.8,5052,74.02,8.5740112,15137.1916,14.02509975,1.847
2009/1/25,42.15,87.88814217,306186.5,4059816.077,244761093.7,5045,64.56,8.9619346,15155.344,14.25570011,1.838
2009/2/1,42.7,82.71526479,306237,4059970.769,244812423.6,5235,62.59,9.3488765,15538.1713,14.11919975,1.892
2009/2/8,40.78,93.36764893,306287.3,4060125.462,244863753.5,5327,68.81,9.4859761,15471.4008,14.51669979,1.926
2009/2/15,36.94,88.78971695,306337.5,4060280.154,244915083.4,5323,64.63,9.1676046,14543.0576,14.7816,1.964
2009/2/22,37.15,97.86912526,306387.8,4060434.846,244966413.3,5300,56.43,11.9039,14784.8645,15.33180046,1.909
2009/3/1,41.1,81.81577662,306438,4060589.538,245017743.2,5373,57.12,10.1117351,15104.8933,15.16699982,1.934
2009/3/8,43.18,90.42459927,306479.4,4060744.231,245069073.1,5401,47.91,9.7210142,15138.5438,14.6239996,1.941
2009/3/15,45.66,89.68480464,306520.8,4060898.923,245120403,5414,57.21,8.308458,15889.1075,14.03299999,1.91
2009/3/22,49.49,93.59348474,306562.2,4061053.615,245171732.9,5432,65.02,10.6221963,15121.949,14.33880043,1.962
2009/3/29,52.99,105.508484,306603.6,4061208.308,245223062.8,5480,71.65,7.6269498,15312.9473,13.54179955,2.046
2009/4/5,50.34,97.28367711,306645,4061363,245274392.8,5469,79.32,9.3045116,15389.4132,13.13000011,2.037
2009/4/12,50.46,79.21638417,306699.5,4061517.692,245325722.7,5482,88.05,8.4537849,14744.1587,13.09780025,2.051
2009/4/19,49.86,95.22345837,306754,4061672.385,245377052.6,5421,89.79,9.1553834,14624.3705,13.55049992,2.059
2009/4/26,47.8,90.47665312,306808.5,4061827.077,245428382.5,5269,100.31,9.9355661,15090.7143,13.72599983,2.049
2009/5/3,50.2,83.20526212,306863,4061981.769,245479712.4,5280,103.88,9.8826087,15989.9409,13.02280045,2.078
2009/5/10,55.96,85.39193122,306908.4,4062136.462,245531042.3,5306,109.85,9.6697786,15506.4052,13.23009968,2.24
2009/5/17,57.94,83.63227443,306953.8,4062291.154,245582372.2,5352,97.48,12.1496649,13937.4647,13.18200016,2.309
2009/5/24,60.32,93.41638706,306999.2,4062445.846,245633702.1,5364,97.21,9.7989866,15393.4521,13.13599968,2.435
2009/5/31,64.32,93.09397734,307044.6,4062600.538,245685032,5358,102.71,10.1651066,15139.8865,13.23859978,2.524
2009/6/7,68.11,81.71419687,307090,4062755.231,245736361.9,5358,110.96,9.3332793,14824.8775,13.39430046,2.624
2009/6/14,70.85,86.21467252,307148,4062909.923,245787691.8,5273,108.14,10.0187922,15951.949,13.35550022,2.672
2009/6/21,70.62,87.40114379,307206,4063064.615,245839021.7,5257,103.45,8.1078136,15510.0064,13.2130003,2.691
2009/6/28,68.58,101.0377775,307264,4063219.308,245890351.6,5163,103.11,11.0278534,15441.2667,13.28989983,2.642
2009/7/5,69.32,90.17048156,307322,4063374,245941681.5,5171,104.07,12.0711938,14318.1102,13.67570019,2.612
2009/7/12,61.48,90.0724046,307384,4063528.692,245993011.4,5171,100.98,10.7439899,15632.4616,13.3380003,2.528
2009/7/19,61.29,84.31702617,307446,4063683.385,246044341.3,5176,110.49,8.6067465,14560.4431,13.18700027,2.463
2009/7/26,65.28,95.57834986,307508,4063838.077,246095671.2,5107,122.9,12.8737034,15250.1881,13.17800045,2.503
2009/8/2,67.03,86.47059764,307570,4063992.769,246147001.1,5246,132.89,15.1323109,15728.7843,12.9684,2.557
2009/8/9,71.58,85.09947302,307621.2,4064147.462,246198331,5172,135.59,15.5751287,15456.0037,12.85499954,2.647
2009/8/16,69.64,96.7047074,307672.4,4064302.154,246249660.9,5169,131.37,15.1020776,15473.4785,12.82479954,2.637
2009/8/23,70.8,91.8051863,307723.6,4064456.846,246300990.8,5173,131.97,14.0140785,15673.6288,13.23950005,2.628
2009/8/30,72.37,96.10027591,307774.8,4064611.538,246352320.7,5244,129.77,15.3472252,14918.9904,13.37150002,2.613
2009/9/6,68.39,99.27969399,307826,4064766.231,246403650.6,5266,127.28,8.6323441,14657.4655,13.33199978,2.588
2009/9/13,70.91,88.77604432,307887.3,4064920.923,246454980.5,5304,131.47,9.5634503,15234.8004,13.2421999,2.577
2009/9/20,71.32,84.00207811,307948.5,4065075.615,246506310.4,5300,130.15,10.3617968,15495.1688,13.56200027,2.552
2009/9/27,68.33,98.92698663,308009.8,4065230.308,246557640.3,5375,127.01,9.5126108,15632.2362,13.60849953,2.499
2009/10/4,68.84,98.00536291,308071,4065385,246608970.3,5360,120.95,11.1480943,15510.5532,13.27540016,2.468
2009/10/11,70.8,78.29153384,308125.5,4065539.692,246660300.2,5377,130.96,11.3814092,14646.604,13.10289955,2.489
2009/10/18,75.73,92.18839483,308180,4065694.385,246711630.1,5371,133.76,12.7239323,15028.8582,13.05020046,2.574
2009/10/25,80.06,86.19722836,308234.5,4065849.077,246762960,5357,136.4,8.9956835,15541.84,13.24370003,2.674
2009/11/1,78.47,90.69360801,308289,4066003.769,246814289.9,5391,123.2,10.8825032,15609.6633,13.42479992,2.694
2009/11/8,79,87.17050164,308330.2,4066158.462,246865619.8,5506,132.82,11.5623896,14385.5843,13.02350044,2.666
2009/11/15,78.24,86.39811365,308371.4,4066313.154,246916949.7,5317,140.43,11.6743111,14891.3074,13.06309986,2.629
2009/11/22,78.37,90.57445667,308412.6,4066467.846,246968279.6,5433,141.07,10.5268881,14630.6548,12.88949966,2.639
2009/11/29,76.14,96.35268624,308453.8,4066622.538,247019609.5,5561,141.4,12.2943518,14599.422,12.6402998,2.629
2009/12/6,76.81,94.07435648,308495,4066777.231,247070939.4,5538,144.75,10.4251298,14770.9806,12.88599968,2.634
2009/12/13,71.51,88.27407449,308547.8,4066931.923,247122269.3,5524,145.64,11.5161539,15406.7716,12.84879971,2.599
2009/12/20,71.72,92.27426684,308600.5,4067086.615,247173599.2,5524,149.79,11.0092914,15081.6501,12.86699963,2.589
2009/12/27,74.76,94.0301805,308653.3,4067241.308,247224929.1,5512,153.69,10.4764817,15148.6154,13.08269978,2.607
2010/1/3,79.07,88.11499974,308706,4067396,247276259,5507,151.06,10.4250583,15534.7589,12.67399979,2.665
2010/1/10,82.34,101.191094,308745.6,4067710.846,247325663.6,5496,165.9,11.3029,14962.8161,12.72200012,2.751
2010/1/17,80.06,89.03161573,308785.2,4068025.692,247375068.1,5404,165.88,11.873948,14859.5732,12.94250011,2.739
2010/1/24,76.62,100.843667,308824.8,4068340.538,247424472.7,5421,156.84,11.0762973,15790.1681,13.06849957,2.705
2010/1/31,73.94,88.57147007,308864.4,4068655.385,247473877.2,5403,155.45,11.2681127,15429.9961,13.1619997,2.661
2010/2/7,74.57,90.52992911,308904,4068970.231,247523281.8,5475,155.32,10.4775754,15063.9954,12.9239502,2.652
2010/2/14,73.88,90.38004453,308951.8,4069285.077,247572686.3,5482,158.74,11.679417,15447.2025,12.7840004,2.608
2010/2/21,78.25,96.4859397,308999.5,4069599.923,247622090.9,5505,163.66,9.7486385,15355.1112,12.7595396,2.655
2010/2/28,79.22,88.03761984,309047.3,4069914.769,247671495.5,5510,167.98,10.4944421,15454.6339,12.61149979,2.702
2010/3/7,80.19,94.47680983,309095,4070229.615,247720900,5527,179.65,11.4662654,15151.5728,12.54819965,2.751
2010/3/14,81.76,82.39204397,309141,4070544.462,247770304.6,5540,180.99,12.5525153,15942.4203,12.5618,2.788
2010/3/21,81.44,92.72970304,309187,4070859.308,247819709.1,5536,181.22,13.1925583,15040.2432,12.48799992,2.819
2010/3/28,80.65,93.98854236,309233,4071174.154,247869113.7,5489,186.46,9.8127967,15904.2251,12.28719997,2.798
2010/4/4,83.01,88.60825216,309279,4071489,247918518.3,5473,180.7,10.4012648,15792.1749,12.18840027,2.826
2010/4/11,85.66,82.61586047,309323.5,4071803.846,247967922.8,5475,182.28,11.0185691,16018.1143,12.27350044,2.858
2010/4/18,84.34,91.38056288,309368,4072118.692,248017327.4,5466,188.53,12.3172908,15640.8484,12.17150021,2.86
2010/4/25,82.9,92.8555811,309412.5,4072433.538,248066731.9,5488,198.52,12.7137919,14976.6362,12.29304981,2.849
2010/5/2,84.22,86.77801348,309457,4072748.385,248116136.5,5522,188.55,11.4335769,15231.7161,12.72570038,2.898
2010/5/9,80.24,97.84876971,309494.2,4073063.231,248165541,5533,167.77,13.0085158,15899.9985,12.54349995,2.905
2010/5/16,74.98,106.4794299,309531.4,4073378.077,248214945.6,5516,175.81,11.2123302,16375.2879,12.94869995,2.864
2010/5/23,69.14,90.3334769,309568.6,4073692.923,248264350.2,5540,162.42,11.4734931,15988.5151,12.92539978,2.786
2010/5/30,70.62,99.78878456,309605.8,4074007.769,248313754.7,5320,167.19,13.5783524,15881.5363,12.94610023,2.728
2010/6/6,72.91,87.77526148,309643,4074322.615,248363159.3,5445,162.75,13.4240424,15583.7126,12.64789963,2.725
2010/6/13,73.44,97.01155553,309694,4074637.462,248412563.8,5503,163.04,11.9019141,16092.1281,12.46819973,2.701
