Week,public_road_mileage
1981-01-06,3859837.0
1981-01-13,3859695.3846153845
1981-01-20,3859553.769230769
1981-01-27,3859412.153846154
1981-02-03,3859270.5384615385
1981-02-10,3859128.923076923
1981-02-17,3858987.3076923075
1981-02-24,3858845.6923076925
1981-03-03,3858704.076923077
1981-03-10,3858562.4615384615
1981-03-17,3858420.846153846
1981-03-24,3858279.230769231
1981-03-31,3858137.6153846155
1981-04-07,3857996.0
1981-04-14,3857854.3846153845
1981-04-21,3857712.769230769
1981-04-28,3857571.153846154
1981-05-05,3857429.5384615385
1981-05-12,3857287.923076923
1981-05-19,3857146.3076923075
1981-05-26,3857004.6923076925
1981-06-02,3856863.076923077
1981-06-09,3856721.4615384615
1981-06-16,3856579.846153846
1981-06-23,3856438.230769231
1981-06-30,3856296.6153846155
1981-07-07,3856155.0
1981-07-14,3856013.3846153845
1981-07-21,3855871.769230769
1981-07-28,3855730.153846154
1981-08-04,3855588.5384615385
1981-08-11,3855446.923076923
1981-08-18,3855305.3076923075
1981-08-25,3855163.6923076925
1981-09-01,3855022.076923077
1981-09-08,3854880.4615384615
1981-09-15,3854738.846153846
1981-09-22,3854597.230769231
1981-09-29,3854455.6153846155
1981-10-06,3854314.0
1981-10-13,3854172.3846153845
1981-10-20,3854030.769230769
1981-10-27,3853889.153846154
1981-11-03,3853747.5384615385
1981-11-10,3853605.923076923
1981-11-17,3853464.3076923075
1981-11-24,3853322.6923076925
1981-12-01,3853181.076923077
1981-12-08,3853039.4615384615
1981-12-15,3852897.846153846
1981-12-22,3852756.230769231
1981-12-29,3852614.6153846155
1982-01-04,3852473.0
1982-01-11,3852731.096153846
1982-01-18,3852989.1923076925
1982-01-25,3853247.2884615385
1982-02-01,3853505.3846153845
1982-02-08,3853763.480769231
1982-02-15,3854021.576923077
1982-02-22,3854279.673076923
1982-03-01,3854537.769230769
1982-03-08,3854795.8653846155
1982-03-15,3855053.9615384615
1982-03-22,3855312.0576923075
1982-03-29,3855570.153846154
1982-04-05,3855828.25
1982-04-12,3856086.346153846
1982-04-19,3856344.4423076925
1982-04-26,3856602.5384615385
1982-05-03,3856860.6346153845
1982-05-10,3857118.730769231
1982-05-17,3857376.826923077
1982-05-24,3857634.923076923
1982-05-31,3857893.019230769
1982-06-07,3858151.1153846155
1982-06-14,3858409.2115384615
1982-06-21,3858667.3076923075
1982-06-28,3858925.403846154
1982-07-05,3859183.5
1982-07-12,3859441.596153846
1982-07-19,3859699.6923076925
1982-07-26,3859957.7884615385
1982-08-02,3860215.8846153845
