Week,Population
1959-01-04,175818.0
1959-01-11,175874.5
1959-01-18,175931.0
1959-01-25,175987.5
1959-02-01,176044.0
1959-02-08,176101.5
1959-02-15,176159.0
1959-02-22,176216.5
1959-03-01,176274.0
1959-03-08,176319.8
1959-03-15,176365.6
1959-03-22,176411.4
1959-03-29,176457.2
1959-04-05,176503.0
1959-04-12,176558.0
1959-04-19,176613.0
1959-04-26,176668.0
1959-05-03,176723.0
1959-05-10,176769.2
1959-05-17,176815.4
1959-05-24,176861.6
1959-05-31,176907.8
1959-06-07,176954.0
1959-06-14,177017.5
1959-06-21,177081.0
1959-06-28,177144.5
1959-07-05,177208.0
1959-07-12,177275.75
1959-07-19,177343.5
1959-07-26,177411.25
1959-08-02,177479.0
1959-08-09,177534.2
1959-08-16,177589.4
1959-08-23,177644.6
1959-08-30,177699.8
1959-09-06,177755.0
1959-09-13,177822.75
1959-09-20,177890.5
1959-09-27,177958.25
1959-10-04,178026.0
1959-10-11,178087.75
1959-10-18,178149.5
1959-10-25,178211.25
1959-11-01,178273.0
1959-11-08,178319.2
1959-11-15,178365.4
1959-11-22,178411.6
1959-11-29,178457.8
1959-12-06,178504.0
1959-12-13,178609.25
1959-12-20,178714.5
1959-12-27,178819.75
1960-01-03,178925.0
1960-01-10,179005.2
1960-01-17,179085.4
1960-01-24,179165.6
1960-01-31,179245.8
1960-02-07,179326.0
1960-02-14,179421.25
1960-02-21,179516.5
1960-02-28,179611.75
1960-03-06,179707.0
1960-03-13,179797.0
1960-03-20,179887.0
1960-03-27,179977.0
1960-04-03,180067.0
1960-04-10,180152.25
1960-04-17,180237.5
1960-04-24,180322.75
1960-05-01,180408.0
1960-05-08,180472.0
1960-05-15,180536.0
1960-05-22,180600.0
1960-05-29,180664.0
1960-06-05,180728.0
1960-06-12,180803.0
1960-06-19,180878.0
1960-06-26,180953.0
1960-07-03,181028.0
1960-07-10,181084.0
1960-07-17,181140.0
1960-07-24,181196.0
1960-07-31,181252.0
1960-08-07,181308.0
1960-08-14,181372.75
1960-08-21,181437.5
1960-08-28,181502.25
1960-09-04,181567.0
1960-09-11,181627.0
1960-09-18,181687.0
1960-09-25,181747.0
1960-10-02,181807.0
1960-10-09,181850.8
1960-10-16,181894.6
1960-10-23,181938.4
1960-10-30,181982.2
1960-11-06,182026.0
1960-11-13,182075.75
1960-11-20,182125.5
1960-11-27,182175.25
1960-12-04,182225.0
1960-12-11,182269.75
1960-12-18,182314.5
1960-12-25,182359.25
1961-01-01,182404.0
1961-01-08,182449.4
1961-01-15,182494.8
1961-01-22,182540.2
1961-01-29,182585.6
1961-02-05,182631.0
1961-02-12,182690.0
1961-02-19,182749.0
1961-02-26,182808.0
1961-03-05,182867.0
1961-03-12,182926.5
1961-03-19,182986.0
1961-03-26,183045.5
1961-04-02,183105.0
1961-04-09,183151.0
1961-04-16,183197.0
1961-04-23,183243.0
1961-04-30,183289.0
1961-05-07,183335.0
1961-05-14,183394.25
1961-05-21,183453.5
1961-05-28,183512.75
1961-06-04,183572.0
1961-06-11,183635.25
1961-06-18,183698.5
1961-06-25,183761.75
1961-07-02,183825.0
1961-07-09,183880.2
1961-07-16,183935.4
1961-07-23,183990.6
1961-07-30,184045.8
1961-08-06,184101.0
1961-08-13,184171.75
1961-08-20,184242.5
1961-08-27,184313.25
1961-09-03,184384.0
1961-09-10,184451.5
1961-09-17,184519.0
1961-09-24,184586.5
1961-10-01,184654.0
1961-10-08,184703.2
1961-10-15,184752.4
1961-10-22,184801.6
1961-10-29,184850.8
1961-11-05,184900.0
1961-11-12,184957.25
1961-11-19,185014.5
1961-11-26,185071.75
1961-12-03,185129.0
1961-12-10,185172.6
1961-12-17,185216.2
1961-12-24,185259.8
1961-12-31,185303.4
1962-01-07,185347.0
1962-01-14,185398.0
1962-01-21,185449.0
1962-01-28,185500.0
1962-02-04,185551.0
1962-02-11,185603.75
1962-02-18,185656.5
1962-02-25,185709.25
1962-03-04,185762.0
1962-03-11,185816.75
1962-03-18,185871.5
1962-03-25,185926.25
1962-04-01,185981.0
1962-04-08,186025.0
1962-04-15,186069.0
1962-04-22,186113.0
1962-04-29,186157.0
1962-05-06,186201.0
1962-05-13,186257.25
1962-05-20,186313.5
1962-05-27,186369.75
1962-06-03,186426.0
1962-06-10,186485.5
1962-06-17,186545.0
1962-06-24,186604.5
1962-07-01,186664.0
1962-07-08,186716.0
1962-07-15,186768.0
1962-07-22,186820.0
1962-07-29,186872.0
1962-08-05,186924.0
1962-08-12,186990.75
1962-08-19,187057.5
1962-08-26,187124.25
1962-09-02,187191.0
1962-09-09,187242.6
1962-09-16,187294.2
1962-09-23,187345.8
1962-09-30,187397.4
1962-10-07,187449.0
1962-10-14,187508.0
1962-10-21,187567.0
1962-10-28,187626.0
1962-11-04,187685.0
1962-11-11,187740.0
1962-11-18,187795.0
1962-11-25,187850.0
1962-12-02,187905.0
1962-12-09,187946.6
1962-12-16,187988.2
1962-12-23,188029.8
