Week,urban_pop
1961-01-03,126462473.0
1961-01-10,126516583.42307693
1961-01-17,126570693.84615384
1961-01-24,126624804.26923077
1961-01-31,126678914.6923077
1961-02-07,126733025.11538461
1961-02-14,126787135.53846154
1961-02-21,126841245.96153846
1961-02-28,126895356.38461539
1961-03-07,126949466.8076923
1961-03-14,127003577.23076923
1961-03-21,127057687.65384616
1961-03-28,127111798.07692307
1961-04-04,127165908.5
1961-04-11,127220018.92307693
1961-04-18,127274129.34615384
1961-04-25,127328239.76923077
1961-05-02,127382350.1923077
1961-05-09,127436460.61538461
1961-05-16,127490571.03846154
1961-05-23,127544681.46153846
1961-05-30,127598791.88461539
1961-06-06,127652902.3076923
1961-06-13,127707012.73076923
1961-06-20,127761123.15384616
1961-06-27,127815233.57692307
1961-07-04,127869344.0
1961-07-11,127923454.42307693
1961-07-18,127977564.84615384
1961-07-25,128031675.26923077
1961-08-01,128085785.6923077
1961-08-08,128139896.11538461
1961-08-15,128194006.53846154
1961-08-22,128248116.96153846
1961-08-29,128302227.38461539
1961-09-05,128356337.8076923
1961-09-12,128410448.23076923
1961-09-19,128464558.65384616
1961-09-26,128518669.07692307
1961-10-03,128572779.5
1961-10-10,128626889.92307693
1961-10-17,128681000.34615384
1961-10-24,128735110.76923077
1961-10-31,128789221.1923077
1961-11-07,128843331.61538461
1961-11-14,128897442.03846154
1961-11-21,128951552.46153846
1961-11-28,129005662.88461539
1961-12-05,129059773.3076923
1961-12-12,129113883.73076923
1961-12-19,129167994.15384616
1961-12-26,129222104.57692307
1962-01-01,129276215.0
1962-01-08,129327393.83018868
1962-01-15,129378572.66037735
1962-01-22,129429751.49056605
1962-01-29,129480930.32075472
1962-02-05,129532109.1509434
1962-02-12,129583287.98113208
1962-02-19,129634466.81132075
1962-02-26,129685645.64150943
1962-03-05,129736824.47169812
1962-03-12,129788003.3018868
1962-03-19,129839182.13207547
1962-03-26,129890360.96226415
1962-04-02,129941539.79245283
1962-04-09,129992718.6226415
1962-04-16,130043897.4528302
1962-04-23,130095076.28301887
1962-04-30,130146255.11320755
1962-05-07,130197433.94339623
1962-05-14,130248612.7735849
1962-05-21,130299791.60377358
1962-05-28,130350970.43396227
1962-06-04,130402149.26415095
1962-06-11,130453328.09433962
1962-06-18,130504506.9245283
1962-06-25,130555685.75471698
1962-07-02,130606864.58490565
