Week,IndexAtClose
2009-01-02,83.77
2009-01-09,83.06
2009-01-16,74.02
2009-01-23,64.56
2009-01-30,62.59
2009-02-06,68.81
2009-02-13,64.63
2009-02-20,56.43
2009-02-27,57.12
2009-03-06,47.91
2009-03-13,57.21
2009-03-20,65.02
2009-03-27,71.65
2009-04-03,79.32
2009-04-10,88.05
2009-04-17,89.79
2009-04-24,100.31
2009-05-01,103.88
2009-05-08,109.85
2009-05-15,97.48
2009-05-22,97.21
2009-05-29,102.71
2009-06-05,110.96
2009-06-12,108.14
2009-06-19,103.45
2009-06-26,103.11
2009-07-03,104.07
2009-07-10,100.98
2009-07-17,110.49
2009-07-24,122.90
2009-07-31,132.89
2009-08-07,135.59
2009-08-14,131.37
2009-08-21,131.97
2009-08-28,129.77
2009-09-04,127.28
2009-09-11,131.47
2009-09-18,130.15
2009-09-25,127.01
2009-10-02,120.95
2009-10-09,130.96
2009-10-16,133.76
2009-10-23,136.40
2009-10-30,123.20
2009-11-06,132.82
2009-11-13,140.43
2009-11-20,141.07
2009-11-27,141.40
2009-12-04,144.75
2009-12-11,145.64
2009-12-18,149.79
2009-12-25,153.69
2009-12-31,151.06
2010-01-08,165.90
2010-01-15,165.88
2010-01-22,156.84
2010-01-29,155.45
2010-02-05,155.32
2010-02-12,158.74
2010-02-19,163.66
2010-02-26,167.98
2010-03-05,179.65
2010-03-12,180.99
2010-03-19,181.22
2010-03-26,186.46
2010-04-02,180.70
2010-04-09,182.28
2010-04-16,188.53
2010-04-23,198.52
2010-04-30,188.55
2010-05-07,167.77
2010-05-14,175.81
2010-05-21,162.42
2010-05-28,167.19
2010-06-04,162.75
2010-06-11,163.04
2010-06-18,167.90
2010-06-25,159.33
2010-07-02,150.99
2010-07-09,160.44
2010-07-16,163.85
2010-07-23,178.34
2010-07-30,177.25
2010-08-06,182.04
2010-08-13,169.95
2010-08-20,168.40
2010-08-27,165.12
2010-09-03,174.57
2010-09-10,169.58
2010-09-17,176.99
2010-09-24,180.56
2010-10-01,180.96
2010-10-08,193.45
2010-10-15,198.25
2010-10-22,199.92
2010-10-29,202.41
2010-11-05,220.83
2010-11-12,218.54
2010-11-19,219.76
2010-11-26,219.96
2010-12-03,231.56
2010-12-10,231.90
2010-12-17,235.21
2010-12-24,236.73
2010-12-31,238.32
2011-01-07,252.15
2011-01-14,255.04
2011-01-21,245.32
2011-01-28,237.74
2011-02-04,236.25
2011-02-11,248.53
2011-02-18,247.30
2011-02-25,234.87
2011-03-04,231.25
2011-03-11,228.93
2011-03-18,226.24
2011-03-25,233.26
2011-04-01,237.43
2011-04-08,232.33
2011-04-15,225.37
2011-04-22,235.17
2011-04-29,239.21
2011-05-06,234.77
2011-05-13,232.58
2011-05-20,229.78
2011-05-27,228.83
2011-06-03,219.34
2011-06-10,210.91
2011-06-17,211.37
2011-06-24,220.91
2011-07-01,234.31
2011-07-08,234.81
