Week,co2
1974-05-19,333.34
1974-05-26,332.95
1974-06-02,332.32
1974-06-09,332.18
1974-06-16,332.37
1974-06-23,331.59
1974-06-30,331.68
1974-07-07,331.44
1974-07-14,330.85
1974-07-21,330.76
1974-07-28,329.80
1974-08-04,329.85
1974-08-11,329.05
1974-08-18,329.06
1974-08-25,328.33
1974-09-01,328.05
1974-09-08,327.57
1974-09-15,326.73
1974-09-22,326.96
1974-09-29,327.31
1974-10-06,327.07
1974-10-13,327.23
1974-10-20,327.40
1974-10-27,327.64
1974-11-03,327.80
1974-11-10,328.50
1974-11-17,328.56
1974-11-24,328.46
1974-12-01,328.76
1974-12-08,329.39
1974-12-15,329.77
1974-12-22,329.96
1974-12-29,330.38
1975-01-05,330.43
1975-01-12,330.59
1975-01-19,330.80
1975-01-26,331.22
1975-02-02,331.64
1975-02-09,331.12
1975-02-16,331.41
1975-02-23,331.96
1975-03-02,331.73
1975-03-09,331.61
1975-03-16,332.11
1975-03-23,331.86
1975-03-30,333.30
1975-04-06,332.79
1975-04-13,333.31
1975-04-20,333.39
1975-04-27,333.49
1975-05-04,333.94
1975-05-11,334.25
1975-05-18,333.45
1975-05-25,334.00
1975-06-01,333.96
1975-06-08,333.32
1975-06-15,333.22
1975-06-22,333.47
1975-06-29,333.01
1975-07-06,332.32
1975-07-13,331.83
1975-07-20,331.36
1975-07-27,331.21
1975-08-03,331.01
1975-08-10,330.38
1975-08-17,329.48
1975-08-24,328.73
1975-08-31,329.24
1975-09-07,329.42
1975-09-14,327.95
1975-09-21,327.96
1975-09-28,327.97
1975-10-05,-999.99
1975-10-12,328.35
1975-10-19,328.63
1975-10-26,328.80
1975-11-02,329.03
1975-11-09,329.01
1975-11-16,329.25
1975-11-23,330.18
1975-11-30,329.72
1975-12-07,-999.99
1975-12-14,-999.99
1975-12-21,-999.99
1975-12-28,-999.99
1976-01-04,331.33
1976-01-11,331.62
1976-01-18,331.66
1976-01-25,331.87
1976-02-01,332.45
1976-02-08,332.51
1976-02-15,332.64
1976-02-22,333.49
1976-02-29,332.43
1976-03-07,332.99
1976-03-14,333.56
1976-03-21,334.15
1976-03-28,334.67
1976-04-04,335.06
1976-04-11,333.65
1976-04-18,334.50
1976-04-25,334.93
1976-05-02,334.17
1976-05-09,334.33
1976-05-16,335.29
1976-05-23,335.38
1976-05-30,334.43
1976-06-06,334.25
1976-06-13,334.18
1976-06-20,334.02
1976-06-27,-999.99
1976-07-04,333.59
1976-07-11,333.48
1976-07-18,332.41
1976-07-25,332.24
1976-08-01,331.69
1976-08-08,330.70
1976-08-15,330.44
1976-08-22,330.23
1976-08-29,330.43
1976-09-05,329.54
1976-09-12,329.54
1976-09-19,328.58
1976-09-26,328.03
1976-10-03,328.55
1976-10-10,328.54
1976-10-17,329.27
1976-10-24,328.77
1976-10-31,329.32
1976-11-07,330.46
1976-11-14,330.17
1976-11-21,330.55
1976-11-28,330.68
1976-12-05,331.19
1976-12-12,332.39
1976-12-19,331.70
1976-12-26,332.39
1977-01-02,332.29
1977-01-09,332.49
1977-01-16,332.88
1977-01-23,332.98
1977-01-30,332.93
1977-02-06,333.21
1977-02-13,333.15
1977-02-20,333.09
1977-02-27,334.34
1977-03-06,334.27
1977-03-13,335.18
1977-03-20,335.32
1977-03-27,335.16
1977-04-03,335.96
1977-04-10,335.85
1977-04-17,336.30
1977-04-24,336.58
1977-05-01,337.00
1977-05-08,336.58
1977-05-15,337.14
1977-05-22,336.97
1977-05-29,336.63
1977-06-05,336.12
1977-06-12,336.01
1977-06-19,336.34
1977-06-26,335.74
1977-07-03,335.46
1977-07-10,335.23
1977-07-17,334.59
1977-07-24,334.09
1977-07-31,333.42
1977-08-07,332.54
1977-08-14,332.84
1977-08-21,331.82
1977-08-28,332.25
1977-09-04,331.18
1977-09-11,331.49
1977-09-18,330.94
1977-09-25,330.92
1977-10-02,330.93
1977-10-09,331.54
1977-10-16,331.27
1977-10-23,331.36
1977-10-30,331.87
1977-11-06,332.08
1977-11-13,332.53
1977-11-20,332.92
1977-11-27,332.65
1977-12-04,333.34
1977-12-11,333.40
1977-12-18,334.03
1977-12-25,333.99
1978-01-01,334.66
1978-01-08,334.56
1978-01-15,334.94
1978-01-22,335.68
1978-01-29,335.23
1978-02-05,334.74
1978-02-12,335.27
1978-02-19,335.50
1978-02-26,335.95
1978-03-05,336.06
1978-03-12,336.73
1978-03-19,336.91
1978-03-26,337.29
1978-04-02,337.33
1978-04-09,338.00
1978-04-16,337.62
1978-04-23,337.87
1978-04-30,338.27
1978-05-07,338.04
1978-05-14,337.89
1978-05-21,337.79
1978-05-28,338.44
1978-06-04,338.46
1978-06-11,338.12
1978-06-18,337.62
1978-06-25,337.47
1978-07-02,336.55
1978-07-09,336.79
1978-07-16,336.34
1978-07-23,335.74
1978-07-30,335.43
1978-08-06,334.64
1978-08-13,334.69
1978-08-20,334.21
1978-08-27,333.78
1978-09-03,332.81
1978-09-10,331.86
1978-09-17,331.75
1978-09-24,332.81
1978-10-01,332.21
1978-10-08,331.85
1978-10-15,332.66
1978-10-22,332.77
1978-10-29,333.22
1978-11-05,333.57
1978-11-12,333.60
1978-11-19,334.12
1978-11-26,334.10
1978-12-03,334.46
1978-12-10,334.96
1978-12-17,335.20
1978-12-24,335.07
1978-12-31,335.20
1979-01-07,335.48
1979-01-14,336.64
1979-01-21,336.93
1979-01-28,337.02
1979-02-04,336.61
1979-02-11,336.52
1979-02-18,336.76
1979-02-25,336.97
1979-03-04,337.93
1979-03-11,338.10
1979-03-18,338.65
1979-03-25,338.97
1979-04-01,338.87
1979-04-08,338.78
1979-04-15,338.77
1979-04-22,339.38
1979-04-29,339.56
1979-05-06,338.60
1979-05-13,339.19
1979-05-20,-999.99
1979-05-27,339.80
1979-06-03,339.74
1979-06-10,339.03
1979-06-17,339.13
1979-06-24,338.92
1979-07-01,338.14
1979-07-08,337.70
1979-07-15,337.91
1979-07-22,336.67
1979-07-29,336.84
1979-08-05,336.35
1979-08-12,336.18
1979-08-19,334.81
1979-08-26,335.25
1979-09-02,333.74
1979-09-09,334.40
1979-09-16,333.61
1979-09-23,333.61
1979-09-30,334.10
1979-10-07,334.53
1979-10-14,334.09
1979-10-21,334.12
1979-10-28,334.54
1979-11-04,334.80
1979-11-11,335.34
1979-11-18,335.63
1979-11-25,335.88
1979-12-02,336.39
1979-12-09,336.72
1979-12-16,337.01
1979-12-23,337.18
