Date,Open,High,Low,Close,Adj Close,Volume
2018-04-16,15.190000,15.317000,14.965000,14.997000,14.322993,953200
2018-04-23,15.030000,15.030000,14.560000,14.820000,14.153949,42300
2018-04-30,14.980000,15.027000,14.600000,15.027000,14.351646,52100
2018-05-07,15.080000,15.459000,15.020000,15.386000,14.694511,64100
2018-05-14,15.490000,15.540000,15.244000,15.375000,14.684006,66200
2018-05-21,15.510000,15.600000,15.200000,15.275000,14.588499,68900
2018-05-28,15.080000,15.364000,15.005000,15.360000,14.669679,50300
2018-06-04,15.450000,15.780000,15.445000,15.619000,14.917040,47500
2018-06-11,15.630000,15.690000,15.410000,15.450000,14.755635,63800
2018-06-18,15.380000,15.450000,14.933000,14.995000,14.321083,58200
2018-06-25,14.840000,14.840000,14.351000,14.510000,13.857880,38000
2018-07-02,14.390000,14.730000,14.350000,14.700000,14.039342,15900
2018-07-09,14.840000,14.970000,14.660000,14.840000,14.173049,22500
2018-07-16,14.840000,15.000000,14.740000,14.790000,14.125298,38200
2018-07-23,14.770000,15.050000,14.629000,14.861000,14.193105,20400
2018-07-30,14.850000,14.870000,14.611000,14.810000,14.144398,17700
2018-08-06,14.830000,14.979000,14.596000,14.596000,13.940016,8200
2018-08-13,14.590000,14.596000,14.150000,14.380000,13.733724,22200
2018-08-20,14.390000,14.720000,14.390000,14.720000,14.058443,18300
2018-08-27,14.760000,15.080000,14.760000,14.823000,14.156813,25900
2018-09-03,14.730000,14.760000,14.410000,14.414000,13.766194,14800
2018-09-10,14.510000,14.700000,14.298000,14.671000,14.011644,20300
2018-09-17,14.710000,15.090000,14.630000,15.040000,14.364061,17100
2018-09-24,14.980000,14.980000,14.719000,14.726000,14.064172,19000
2018-10-01,14.840000,14.900000,14.280000,14.340000,13.695520,13400
2018-10-08,14.280000,14.320000,13.406000,13.489000,12.882767,29800
2018-10-15,13.620000,13.890000,13.378000,13.390000,12.788218,109500
2018-10-22,13.350000,13.450000,12.620000,12.830000,12.253384,193400
2018-10-29,13.180000,13.640000,12.786000,13.465000,12.859846,25100
2018-11-05,13.500000,13.710000,13.360000,13.360000,12.759564,11600
2018-11-12,13.260000,13.300000,13.040000,13.220000,12.625856,19200
2018-11-19,13.230000,13.230000,12.640000,12.932000,12.350801,17500
2018-11-26,12.990000,13.250000,12.910000,13.250000,12.654508,9700
2018-12-03,13.660000,13.660000,12.490000,12.525000,11.962092,16600
2018-12-10,12.520000,12.850000,12.260000,12.530000,11.966867,72700
2018-12-17,12.370000,12.452000,11.663000,11.663000,11.138834,14900
2018-12-24,11.500000,11.730000,11.341000,11.655000,11.131192,34100
2018-12-31,11.770000,11.887000,11.390000,11.842000,11.635791,26400
2019-01-07,11.920000,12.410000,11.920000,12.410000,12.193900,17000
2019-01-14,12.320000,12.730000,12.310000,12.695000,12.473936,19500
2019-01-21,12.580000,12.860000,12.290000,12.827000,12.603639,17500
2019-01-28,12.560000,13.002000,12.560000,12.949000,12.723515,19100
2019-02-04,12.950000,13.240000,12.600000,12.690000,12.469025,11200
2019-02-11,12.750000,13.230000,12.730000,13.230000,12.999620,16400
2019-02-18,13.190000,13.500000,13.190000,13.490000,13.255093,14800
2019-02-25,13.640000,13.740000,13.400000,13.494000,13.259025,39500
2019-03-04,13.580000,13.580000,12.800000,12.907000,12.682245,40900
2019-03-11,13.000000,13.340000,13.000000,13.260000,13.029099,14400
2019-03-18,13.350000,13.590000,13.199000,13.199000,12.969161,44800
2019-03-25,13.160000,13.290000,13.050000,13.224000,12.993725,28200
2019-04-01,13.460000,13.970000,13.390000,13.925000,13.682519,43700
2019-04-08,13.940000,14.080000,13.840000,14.070000,13.824993,49700
2019-04-15,14.140000,14.450000,13.931000,14.400000,14.149247,83100
2019-04-22,14.350000,14.350000,13.930000,14.000000,13.756213,87800
2019-04-29,14.020000,14.180000,13.906000,14.180000,13.933078,34700
2019-05-06,13.790000,13.980000,13.190000,13.385000,13.151921,29500
2019-05-13,13.070000,13.210000,12.800000,12.845000,12.621325,64200
2019-05-20,12.670000,12.800000,12.255000,12.370000,12.154596,48000
2019-05-27,12.470000,12.480000,12.120000,12.170000,11.958079,52800
2019-06-03,12.180000,12.840000,12.165000,12.840000,12.616412,22400
2019-06-10,12.950000,13.162000,12.818000,12.818000,12.594795,34800
2019-06-17,12.860000,13.403000,12.820000,13.270000,13.038925,27700
2019-06-24,13.290000,13.400000,13.111000,13.340000,13.107706,27600
2019-07-01,13.660000,13.660000,13.245000,13.390000,13.268250,42200
2019-07-08,13.290000,13.395000,13.130000,13.380000,13.258339,93400
2019-07-15,13.400000,13.490000,13.280000,13.430000,13.307885,50400
2019-07-22,13.430000,13.890000,13.410000,13.704000,13.579394,465500
2019-07-29,13.601000,13.640000,12.800000,12.860000,12.743067,85400
2019-08-05,12.650000,12.839000,12.442000,12.680000,12.564705,58600
2019-08-12,12.540000,12.770000,12.019000,12.400000,12.287251,32300
2019-08-19,12.530000,12.617000,12.088000,12.088000,11.978087,62800
2019-08-26,12.280000,12.640000,12.100000,12.515000,12.401205,34100
2019-09-02,12.390000,13.090000,12.380000,13.064000,12.945213,44600
2019-09-09,13.200000,13.760000,13.140000,13.730000,13.605156,62600
2019-09-16,13.740000,13.740000,13.330000,13.353000,13.231585,77800
2019-09-23,13.300000,13.390000,12.980000,13.113000,12.993767,85500
2019-09-30,13.130000,13.230000,12.540000,12.888000,12.770813,56900
2019-10-07,12.800000,13.275000,12.600000,13.220000,13.099794,59000
2019-10-14,13.130000,13.460000,13.130000,13.360000,13.238522,59700
2019-10-21,13.500000,13.740000,13.350000,13.710000,13.585339,69300
2019-10-28,13.840000,13.980000,13.553000,13.960000,13.833066,66100
2019-11-04,14.050000,14.500000,14.050000,14.456000,14.324556,86800
2019-11-11,14.350000,14.470000,14.140000,14.296000,14.166011,211000
2019-11-18,14.320000,14.350000,13.970000,14.046000,13.918283,159000
2019-11-25,14.170000,14.295000,14.140000,14.140000,14.011429,82500
2019-12-02,14.200000,14.210000,13.720000,14.165000,14.036201,40300
2019-12-09,14.160000,14.757000,14.080000,14.555000,14.422656,21000
2019-12-16,14.697000,14.870000,14.650000,14.788000,14.653537,22900
2019-12-23,14.750000,15.000000,14.750000,14.880000,14.744700,49200
2019-12-30,14.950000,15.127000,14.714000,14.907000,14.771455,67500
2020-01-06,14.810000,15.280000,14.700000,15.100000,15.033422,112800
2020-01-13,15.260000,15.530000,15.210000,15.530000,15.461526,114100
2020-01-20,15.550000,15.550000,15.100000,15.160000,15.093158,78300
2020-01-27,14.810000,15.056000,14.580000,14.588000,14.523680,102900
2020-02-03,14.610000,15.580000,14.590000,15.200000,15.132980,140000
2020-02-10,15.210000,15.870000,15.210000,15.675000,15.605886,162400
2020-02-17,15.550000,15.980000,15.430000,15.475000,15.406769,95300
2020-02-24,14.860000,14.920000,13.130000,13.640000,13.579860,171700
2020-03-02,13.840000,14.269000,13.170000,13.345000,13.286160,67400
2020-03-09,12.340000,12.930000,10.710000,11.645000,11.593656,97300
2020-03-16,9.590000,10.870000,9.320000,9.820000,9.776702,164000
2020-03-23,9.770000,11.620000,9.510000,11.240000,11.190441,105100
2020-03-30,10.920000,11.330000,10.420000,10.470000,10.423837,127500
2020-04-06,10.960000,12.180000,10.960000,11.935000,11.882377,44000
2020-04-13,11.950000,12.360000,11.720000,12.276000,12.221873,59600
2020-04-20,12.110000,12.250000,11.510000,12.141000,12.087469,77700
2020-04-27,12.330000,13.000000,12.080000,12.143000,12.089459,77300
2020-05-04,12.000000,12.838000,11.980000,12.805000,12.748542,51500
2020-05-11,12.870000,13.000000,11.890000,12.390000,12.335371,67100
2020-05-18,12.740000,13.340000,12.740000,13.083000,13.025315,77700
2020-05-25,13.460000,13.785000,13.330000,13.515000,13.455411,114700
2020-06-01,13.700000,14.960000,13.640000,14.816000,14.750674,97100
