Date,Weekly U.S. Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon)
20-Aug-90,1.191
27-Aug-90,1.245
3-Sep-90,1.242
10-Sep-90,1.252
17-Sep-90,1.266
24-Sep-90,1.272
1-Oct-90,1.321
8-Oct-90,1.333
15-Oct-90,1.339
22-Oct-90,1.345
29-Oct-90,1.339
5-Nov-90,1.334
12-Nov-90,1.328
19-Nov-90,1.323
26-Nov-90,1.311
3-Dec-90,1.341
10-Dec-90,
17-Dec-90,
24-Dec-90,
31-Dec-90,
7-Jan-91,
14-Jan-91,
21-Jan-91,1.192
28-Jan-91,1.168
4-Feb-91,1.139
11-Feb-91,1.106
18-Feb-91,1.078
25-Feb-91,1.054
4-Mar-91,1.025
11-Mar-91,1.045
18-Mar-91,1.043
25-Mar-91,1.047
1-Apr-91,1.052
8-Apr-91,1.066
15-Apr-91,1.069
22-Apr-91,1.09
29-Apr-91,1.104
6-May-91,1.113
13-May-91,1.121
20-May-91,1.129
27-May-91,1.14
3-Jun-91,1.138
10-Jun-91,1.135
17-Jun-91,1.126
24-Jun-91,1.114
1-Jul-91,1.104
8-Jul-91,1.098
15-Jul-91,1.094
22-Jul-91,1.091
29-Jul-91,1.091
5-Aug-91,1.099
12-Aug-91,1.112
19-Aug-91,1.124
26-Aug-91,1.124
2-Sep-91,1.127
9-Sep-91,1.12
16-Sep-91,1.11
23-Sep-91,1.097
30-Sep-91,1.092
7-Oct-91,1.089
14-Oct-91,1.084
21-Oct-91,1.088
28-Oct-91,1.091
4-Nov-91,1.091
11-Nov-91,1.102
18-Nov-91,1.104
25-Nov-91,1.099
2-Dec-91,1.099
9-Dec-91,1.091
16-Dec-91,1.075
23-Dec-91,1.063
30-Dec-91,1.053
6-Jan-92,1.042
13-Jan-92,1.026
20-Jan-92,1.014
27-Jan-92,1.006
3-Feb-92,0.995
10-Feb-92,1.004
17-Feb-92,1.011
24-Feb-92,1.014
2-Mar-92,1.012
9-Mar-92,1.013
16-Mar-92,1.01
23-Mar-92,1.015
30-Mar-92,1.013
